incentive,smv,no_of_workers,over_time,targeted_productivity,department,wip,team,quarter,no_of_style_change,idle_time,idle_men,actual_productivity
98,26.16,59,7080,0.8,1,1108,8,1,0,0,0,0.940725424
0,3.94,8,960,0.75,2,,1,1,0,0,0,0.8865
50,11.41,30.5,3660,0.8,1,968,11,1,0,0,0,0.800570492
50,11.41,30.5,3660,0.8,1,968,12,1,0,0,0,0.800570492
50,25.9,56,1920,0.8,1,1170,6,1,0,0,0,0.800381944
38,25.9,56,6720,0.8,1,984,7,1,0,0,0,0.800125
0,3.94,8,960,0.75,2,,2,1,0,0,0,0.755166667
45,28.08,57.5,6900,0.75,1,795,3,1,0,0,0,0.753683478
34,19.87,55,6000,0.75,1,733,2,1,0,0,0,0.753097531
45,28.08,57.5,6900,0.75,1,681,1,1,0,0,0,0.750427826
44,28.08,57.5,6900,0.7,1,872,9,1,0,0,0,0.721126957
45,19.31,54,6480,0.75,1,578,10,1,0,0,0,0.712205247
50,11.41,30.5,3660,0.8,1,668,5,1,0,0,0,0.707045902
0,3.94,8,960,0.65,2,,10,1,0,0,0,0.705916667
0,2.9,8,960,0.75,2,,8,1,0,0,0,0.676666667
0,3.94,18,2160,0.75,2,,4,1,0,0,0,0.593055556
0,2.9,8,960,0.8,2,,7,1,0,0,0,0.540729167
0,23.69,60,7200,0.65,1,861,4,1,0,0,0,0.52118
0,4.15,12,1440,0.7,2,,11,1,0,0,0,0.436326389
0,4.15,20,6600,0.8,2,,4,1,0,0,0,0.988024691
0,2.9,17,5640,0.75,2,,11,1,0,0,0,0.987880435
0,4.15,8,960,0.8,2,,9,1,0,0,0,0.956270833
0,3.94,8,1560,0.75,2,,3,1,0,0,0,0.945277778
0,3.94,8,960,0.8,2,,1,1,0,0,0,0.902916667
50,28.08,56.5,6300,0.8,1,772,1,1,0,0,0,0.800725314
50,28.08,54.5,6540,0.8,1,913,3,1,0,0,0,0.800322936
50,26.16,59,7080,0.8,1,1261,8,1,0,0,0,0.800318644
63,26.16,59,7080,0.8,1,844,12,1,0,0,0,0.800318644
50,11.61,29.5,7080,0.8,1,1005,11,1,0,0,0,0.800237288
50,11.61,31.5,7080,0.8,1,659,5,1,0,0,0,0.800148649
50,25.9,56,6720,0.8,1,1152,6,1,0,0,0,0.800125
38,25.9,56,6720,0.8,1,1138,7,1,0,0,0,0.800125
56,19.31,54,6480,0.75,1,610,10,1,0,0,0,0.787299691
0,4.15,8,960,0.8,2,,2,1,0,0,0,0.782447917
45,19.87,55,6600,0.75,1,944,2,1,0,0,0,0.75024303
0,4.15,8,960,0.7,2,,10,1,0,0,0,0.7018125
0,23.69,60,13800,0.7,1,544,4,1,0,0,0,0.700134038
40,28.08,57.5,6900,0.7,1,1072,9,1,0,0,0,0.699965217
0,2.9,8,960,0.8,2,,8,1,0,0,0,0.628333333
0,3.94,8,960,0.8,2,,7,1,0,0,0,0.6253125
0,4.15,8,1560,0.75,2,,3,1,0,0,0,0.991388889
0,3.94,8,960,0.8,2,,9,1,0,0,0,0.931645833
0,3.94,8,960,0.8,2,,1,1,0,0,0,0.915229167
50,11.61,31,6975,0.8,1,539,6,1,0,0,0,0.879714482
0,3.94,20,6600,0.8,2,,4,1,0,0,0,0.861679012
60,26.16,59,7080,0.8,1,1278,9,1,0,0,0,0.850569492
60,25.9,56.5,7020,0.8,1,1227,7,1,0,0,0,0.850436438
45,25.9,56.5,6780,0.8,1,1039,8,1,0,0,0,0.850345133
50,28.08,55.5,4260,0.8,1,878,4,1,0,0,0,0.800598058
63,26.16,59,7080,0.8,1,1033,1,1,0,0,0,0.800318644
50,28.08,55.5,6660,0.8,1,782,2,1,0,0,0,0.800237838
50,11.61,31,6975,0.8,1,1216,12,1,0,0,0,0.800030199
0,3.94,8,960,0.8,2,,2,1,0,0,0,0.792104167
0,3.94,18,4320,0.7,2,,10,1,0,0,0,0.759228395
45,19.31,54,6480,0.75,1,513,11,1,0,0,0,0.750348457
45,19.87,55,6600,0.75,1,734,3,1,0,0,0,0.75024303
40,28.08,57.5,6900,0.7,1,1202,10,1,0,0,0,0.699965217
0,2.9,8,960,0.8,2,,8,1,0,0,0,0.682708333
0,2.9,8,960,0.8,2,,7,1,0,0,0,0.667604167
26,45.67,58,6960,0.7,1,884,5,1,0,0,0,0.603432184
0,4.15,8,960,0.75,2,,11,1,0,0,0,0.345833333
0,3.94,8,1920,0.8,2,,1,1,0,0,0,0.961059028
0,3.94,10,2400,0.8,2,,11,1,0,0,0,0.939513889
0,3.94,16,3840,0.8,2,,4,1,0,0,0,0.893663194
0,4.15,8,1920,0.75,2,,3,1,0,0,0,0.875390625
75,26.16,59,7080,0.8,1,1227,9,1,0,0,0,0.850569492
0,2.9,8,1920,0.8,2,,9,1,0,0,0,0.820833333
0,3.94,8,960,0.8,2,,2,1,0,0,0,0.804416667
50,25.9,56.5,6780,0.8,1,1255,7,1,0,0,0,0.800684366
38,25.9,56.5,6780,0.8,1,1047,8,1,0,0,0,0.800684366
63,26.16,59,7080,0.8,1,1138,1,1,0,0,0,0.800318644
50,19.31,55,4800,0.8,1,678,11,1,0,0,0,0.800250962
50,11.61,32,7200,0.8,1,712,6,1,0,0,0,0.800246011
50,11.61,32,7200,0.8,1,1037,12,1,0,0,0,0.800246011
50,28.08,57.5,6900,0.8,1,757,2,1,0,0,0,0.800076522
50,28.08,57.5,6900,0.8,1,759,4,1,0,0,0,0.800076522
0,2.9,8,960,0.75,2,,10,1,0,0,0,0.763375
0,2.9,8,960,0.6,2,,5,1,0,0,0,0.759270833
45,28.08,58.5,7020,0.75,1,1083,10,1,0,0,0,0.7504
45,19.87,55,6600,0.75,1,944,3,1,0,0,0,0.75024303
0,3.94,8,960,0.8,2,,7,1,0,0,0,0.676666667
0,2.9,8,960,0.8,2,,8,1,0,0,0,0.664583333
23,21.98,58,6960,0.6,1,666,5,1,0,0,0,0.600028736
0,3.94,18,4440,0.8,2,,4,1,0,0,0,0.966781346
0,3.94,8,1440,0.8,2,,1,1,0,0,0,0.936496212
0,4.15,10,1800,0.75,2,,3,1,0,0,0,0.899166667
0,4.15,15,2700,0.8,2,,11,1,0,0,0,0.888686869
0,3.94,8,1440,0.8,2,,9,1,0,0,0,0.858143939
75,26.16,59,10620,0.8,1,1187,1,1,0,0,0,0.850502311
75,26.16,59,10620,0.8,1,1305,9,1,0,0,0,0.850502311
0,3.94,8,1440,0.75,2,,10,1,0,0,0,0.809640152
0,3.94,8,1440,0.8,2,,2,1,0,0,0,0.805909091
50,28.08,57.5,10350,0.8,1,716,2,1,0,0,0,0.800594466
50,28.08,57.5,10350,0.8,1,925,4,1,0,0,0,0.800594466
50,19.87,55,9900,0.8,1,963,3,1,0,0,0,0.800273829
50,11.61,31.5,5310,0.8,1,1101,12,1,0,0,0,0.800140969
38,25.9,56.5,10170,0.8,1,1035,7,1,0,0,0,0.800128721
38,25.9,56.5,10170,0.8,1,1083,8,1,0,0,0,0.800128721
38,11.61,31.5,4470,0.8,1,910,6,1,0,0,0,0.80007657
45,28.08,58.5,10530,0.75,1,1209,10,1,0,0,0,0.750545455
45,19.31,55,9900,0.75,1,590,11,1,0,0,0,0.750057851
0,2.9,8,1440,0.8,2,,8,1,0,0,0,0.681060606
35,21.98,58,10440,0.65,1,808,5,1,0,0,0,0.649983281
0,2.9,8,1440,0.8,2,,7,1,0,0,0,0.61625
0,3.94,8,1440,0.8,2,,1,1,0,0,0,0.951420455
0,3.94,8,1440,0.8,2,,9,1,0,0,0,0.880530303
75,26.16,59,10620,0.8,1,1179,1,1,0,0,0,0.850502311
75,26.16,59,10620,0.8,1,1324,9,1,0,0,0,0.850502311
60,25.9,56.5,10170,0.8,1,1135,8,1,0,0,0,0.850136766
0,4.15,15,2700,0.75,2,,3,1,0,0,0,0.83
0,3.94,18,4440,0.8,2,,4,1,0,0,0,0.827186544
0,3.94,8,1440,0.8,2,,2,1,0,0,0,0.813371212
0,3.94,8,1440,0.75,2,,10,1,0,0,0,0.805909091
0,2.9,8,1440,0.8,2,,7,1,0,0,0,0.804640152
63,28.08,57.5,10350,0.8,1,776,2,1,0,0,0,0.800594466
50,28.08,57.5,10350,0.8,1,990,4,1,0,0,0,0.800594466
50,11.41,30.5,5490,0.8,1,986,6,1,0,0,0,0.800343766
50,19.87,55,9900,0.8,1,924,3,1,0,0,0,0.800273829
50,11.61,31.5,5670,0.8,1,1120,12,1,0,0,0,0.800246753
50,25.9,56.5,10170,0.8,1,1066,7,1,0,0,0,0.800128721
69,28.08,58.5,10530,0.75,1,1144,10,1,0,0,0,0.8
40,21.98,58,9720,0.7,1,413,5,1,0,0,0,0.700480831
0,2.9,8,1440,0.8,2,,8,1,0,0,0,0.681060606
0,2.9,10,1800,0.8,2,,6,1,0,0,0,0.666515152
40,31.83,55,9900,0.8,1,568,11,1,0,0,0,0.412119835
0,4.15,8,1440,0.7,2,,5,1,0,0,0,0.330113636
0,3.94,8,1440,0.8,2,,1,2,0,0,0,0.947689394
0,3.94,20,12600,0.8,2,,4,2,0,0,0,0.919905405
88,26.16,59,10620,0.8,1,1216,9,2,0,0,0,0.900215716
0,3.94,8,1440,0.8,2,,9,2,0,0,0,0.891723485
75,26.16,59,10620,0.8,1,1189,1,2,0,0,0,0.850502311
75,28.08,58.5,10530,0.8,1,942,4,2,0,0,0,0.850181818
60,25.9,56.5,10170,0.8,1,1050,7,2,0,0,0,0.850136766
60,25.9,56.5,10170,0.8,1,1026,8,2,0,0,0,0.850136766
0,3.94,8,1440,0.8,2,,2,2,0,0,0,0.835757576
0,4.15,8,3840,0.7,2,,5,2,0,0,0,0.821354167
63,28.08,58.5,10050,0.8,1,783,2,2,0,0,0,0.800497246
50,19.87,55,9900,0.8,1,857,3,2,0,0,0,0.800273829
63,11.61,31.5,15120,0.8,1,548,12,2,0,0,0,0.800107143
50,11.41,30.5,14640,0.8,1,411,6,2,0,0,0,0.800024932
69,28.08,58.5,10530,0.75,1,1066,10,2,0,0,0,0.8
0,3.94,8,1440,0.75,2,,10,2,0,0,0,0.779791667
0,2.9,8,1440,0.8,2,,8,2,0,0,0,0.735984848
0,4.15,12,2160,0.75,2,,3,2,0,0,0,0.712626263
0,2.9,8,1440,0.8,2,,7,2,0,0,0,0.681060606
0,4.15,5,900,0.8,2,,11,2,0,0,0,0.515606061
38,12.52,54,25920,0.35,1,287,11,2,0,0,0,0.349951389
0,42.41,57,10260,0.7,1,724,5,2,0,0,0,0.233705476
0,3.94,8,2160,0.8,2,,1,2,0,0,0,0.985
0,4.15,12,2760,0.75,2,,3,2,0,0,0,0.930340376
0,3.94,20,6000,0.8,2,,4,2,0,0,0,0.911589744
0,3.94,8,1440,0.8,2,,9,2,0,0,0,0.858143939
75,26.16,59,10620,0.8,1,1122,9,2,0,0,0,0.851174114
60,25.9,56.5,10170,0.8,1,970,7,2,0,0,0,0.850136766
60,25.9,56.5,10170,0.8,1,1158,8,2,0,0,0,0.850136766
0,3.94,8,1440,0.8,2,,10,2,0,0,0,0.846950758
0,4.15,8,1440,0.8,2,,11,2,0,0,0,0.817424242
0,3.94,8,1440,0.8,2,,2,2,0,0,0,0.817102273
63,28.08,58,10440,0.8,1,660,4,2,0,0,0,0.801028213
63,28.08,57.5,10350,0.8,1,749,2,2,0,0,0,0.800594466
50,11.61,31.5,4710,0.8,1,893,12,2,0,0,0,0.800346445
50,11.41,30.5,5490,0.8,1,887,6,2,0,0,0,0.800343766
63,26.16,59,10620,0.8,1,1335,1,2,0,0,0,0.800117103
63,28.08,58.5,10530,0.8,1,1082,10,2,0,0,0,0.8
45,19.87,56,7080,0.75,1,1075,3,2,0,0,0,0.750098351
38,12.52,53,9540,0.5,1,749,11,2,0,0,0,0.673245283
0,2.9,8,1440,0.8,2,,7,2,0,0,0,0.670075758
0,2.9,8,1440,0.8,2,,8,2,0,0,0,0.628882576
0,20.79,56,7680,0.5,1,966,5,2,0,0,0,0.388007813
0,4.15,8,1440,0.5,2,,5,2,0,0,0,0.337973485
0,4.15,8,1440,0.75,2,,3,2,0,0,0,0.93532197
0,3.94,20,3600,0.8,2,,4,2,0,0,0,0.925643939
88,26.16,59,10620,0.8,1,1095,9,2,0,0,0,0.900215716
0,3.94,8,1440,0.8,2,,1,2,0,0,0,0.873068182
0,3.94,8,1440,0.8,2,,9,2,0,0,0,0.858143939
75,26.16,59,10620,0.8,1,1383,1,2,0,0,0,0.850502311
45,25.9,56.5,10170,0.8,1,1012,7,2,0,0,0,0.850136766
60,25.9,56.5,10170,0.8,1,1209,8,2,0,0,0,0.850136766
0,3.94,8,1440,0.8,2,,10,2,0,0,0,0.828295455
0,3.94,8,1440,0.8,2,,2,2,0,0,0,0.820833333
50,11.41,30.5,5490,0.8,1,887,6,2,0,0,0,0.800343766
50,11.61,31.5,5670,0.8,1,896,12,2,0,0,0,0.800246753
63,28.08,58.5,10530,0.8,1,805,2,2,0,0,0,0.8
38,28.08,58.5,10530,0.8,1,762,10,2,0,0,0,0.8
0,19.87,55,6420,0.8,1,1043,3,2,0,0,0,0.690182815
0,4.15,8,1440,0.8,2,,11,2,0,0,0,0.668087121
0,2.9,8,1440,0.8,2,,8,2,0,0,0,0.653598485
0,4.15,8,1440,0.5,2,,5,2,0,0,0,0.609138258
30,12.52,53,9540,0.6,1,831,11,2,0,0,0,0.600229846
0,2.9,8,1440,0.8,2,,6,2,0,0,0,0.597348485
0,2.9,8,1440,0.8,2,,7,2,0,0,0,0.590435606
0,50.48,58,10440,0.8,1,562,4,2,0,0,0,0.473134796
0,20.79,57,7980,0.6,1,1208,5,2,0,0,0,0.452979626
0,3.94,8,1440,0.8,2,,1,2,0,0,0,0.955151515
0,4.3,18,3240,0.35,2,,4,2,0,0,0,0.942213805
0,4.15,10,1800,0.8,2,,3,2,0,0,0,0.905454545
0,3.94,8,1440,0.8,2,,2,2,0,0,0,0.880530303
0,3.94,8,1440,0.8,2,,9,2,0,0,0,0.858143939
75,26.16,59,8220,0.8,1,1099,1,2,0,0,0,0.850522167
75,26.16,59,10620,0.8,1,1093,9,2,0,0,0,0.850502311
60,25.9,56.5,10170,0.8,1,1031,7,2,0,0,0,0.850136766
60,25.9,56.5,10170,0.8,1,1233,8,2,0,0,0,0.850136766
0,2.9,8,1440,0.8,2,,6,2,0,0,0,0.817424242
0,4.15,8,1440,0.65,2,,5,2,0,0,0,0.809564394
0,19.87,55,9900,0.8,1,941,3,2,0,0,0,0.800273829
50,11.41,31.5,5670,0.8,1,843,6,2,0,0,0,0.800181818
50,11.61,31.5,4470,0.8,1,760,12,2,0,0,0,0.80007657
63,28.08,58.5,10530,0.8,1,737,2,2,0,0,0,0.8
0,2.9,8,1440,0.8,2,,8,2,0,0,0,0.725
45,50.48,58.5,6930,0.8,1,381,10,2,0,0,0,0.688557555
0,20.79,59,8460,0.65,1,1141,5,2,0,0,0,0.650040783
44,12.52,53,9540,0.65,1,1004,11,2,0,0,0,0.64998056
0,2.9,8,1440,0.8,2,,7,2,0,0,0,0.648106061
0,4.15,8,1440,0.8,2,,11,2,0,0,0,0.640577652
0,22.4,51.5,7350,0.35,1,581,4,2,0,0,0,0.35063299
0,3.94,8,1440,0.8,2,,10,2,0,0,0,0.24625
0,4.3,12,2160,0.35,2,,4,2,0,0,0,0.952020202
0,3.94,2,1440,0.8,2,,1,2,0,0,0,0.951420455
0,3.94,20,5400,0.8,2,,10,2,0,0,0,0.912766667
0,4.15,9,1620,0.8,2,,3,2,0,0,0,0.901262626
0,3.94,8,1440,0.8,2,,9,2,0,0,0,0.858143939
75,26.16,59,10620,0.8,1,1073,1,2,0,0,0,0.850502311
75,26.16,59,10620,0.8,1,1156,9,2,0,0,0,0.850502311
60,25.9,57,10260,0.8,1,1211,8,2,0,0,0,0.850252525
60,25.9,56.5,10170,0.8,1,1126,7,2,0,0,0,0.850136766
0,4.15,8,1440,0.65,2,,5,2,0,0,0,0.821354167
0,3.94,8,1440,0.8,2,,2,2,0,0,0,0.805909091
50,11.61,31.5,5670,0.8,1,1004,6,2,0,0,0,0.800246753
50,11.61,31.5,5670,0.8,1,1063,12,2,0,0,0,0.800246753
50,28.08,58.5,10530,0.8,1,723,2,2,0,0,0,0.8
54,42.27,55,9900,0.8,1,465,3,2,0,0,0,0.705576584
0,2.9,8,1440,0.8,2,,8,2,0,0,0,0.681060606
0,2.9,8,1440,0.8,2,,7,2,0,0,0,0.670075758
0,4.15,8,1440,0.8,2,,11,2,0,0,0,0.601278409
37,27.13,53,9540,0.7,1,530,11,2,0,0,0,0.582301029
0,20.79,58,10440,0.7,1,1297,5,2,0,0,0,0.526810345
23,22.4,56.5,10170,0.5,1,783,4,2,0,0,0,0.500380799
23,22.4,56.5,10170,0.35,1,715,10,2,0,0,0,0.35020649
0,4.15,7,1980,0.8,2,,11,2,0,0,0,0.934607438
0,4.3,8,2700,0.35,2,,4,2,0,0,0,0.908080808
70,25.9,56.5,10170,0.8,1,1150,7,2,0,0,0,0.900144811
0,3.94,8,1440,0.8,2,,1,2,0,0,0,0.891723485
0,4.15,15,1440,0.65,2,,5,2,0,0,0,0.864583333
0,3.94,8,1440,0.8,2,,9,2,0,0,0,0.858143939
75,26.16,59,10620,0.8,1,1232,9,2,0,0,0,0.850502311
60,25.9,56.5,10170,0.8,1,1218,8,2,0,0,0,0.850136766
0,2.9,8,1440,0.8,2,,7,2,0,0,0,0.837594697
0,4.15,7,1440,0.8,2,,3,2,0,0,0,0.820833333
50,11.61,31.5,2970,0.8,1,1159,12,2,0,0,0,0.800313433
38,11.61,31.5,5670,0.8,1,972,6,2,0,0,0,0.800246753
63,26.16,59,10620,0.8,1,1092,1,2,0,0,0,0.800117103
0,20.79,58,7320,0.7,1,965,5,2,0,0,0,0.700095563
0,2.9,8,1440,0.8,2,,8,2,0,0,0,0.667329545
23,22.4,57,5100,0.6,1,816,4,2,0,0,0,0.600369686
23,22.4,56.5,3390,0.5,1,947,10,2,0,0,0,0.499980334
23,14.61,55,7200,0.35,1,838,11,2,0,0,0,0.35003125
0,3.94,8,1260,0.8,2,,10,2,0,0,0,0.332359307
27,51.02,57,4260,0.8,1,1086,2,2,0,0,0,0.311207464
0,3.94,8,1260,0.8,2,,2,2,0,0,0,0.247316017
0,4.3,20,3600,0.35,2,,4,3,0,0,0,0.988636364
0,3.94,19,3420,0.8,2,,10,3,0,0,0,0.953110048
0,3.94,8,1440,0.8,2,,1,3,0,0,0,0.884261364
0,4.15,8,1440,0.65,2,,5,3,0,0,0,0.860653409
0,3.94,8,1440,0.8,2,,9,3,0,0,0,0.858143939
75,26.16,59,10620,0.8,1,1160,1,3,0,0,0,0.850502311
60,25.9,56.5,8970,0.8,1,1177,8,3,0,0,0,0.850415628
60,25.9,56.5,10170,0.8,1,1281,7,3,0,0,0,0.850136766
63,26.16,59,10620,0.8,1,1369,9,3,0,0,0,0.800117103
38,11.61,31.5,4950,0.8,1,1084,6,3,0,0,0,0.80003139
50,11.61,31.5,4950,0.8,1,1216,12,3,0,0,0,0.80003139
0,20.79,58,10440,0.7,1,391,5,3,0,0,0,0.700060345
0,2.9,8,1440,0.8,2,,7,3,0,0,0,0.689299242
30,22.52,56.5,10170,0.5,1,1102,3,3,0,0,0,0.660683293
26,22.52,56,10080,0.65,1,872,4,3,0,0,0,0.650130952
0,2.9,8,1440,0.8,2,,8,3,0,0,0,0.606912879
23,22.52,56.5,10170,0.6,1,1076,10,3,0,0,0,0.600291767
30,14.89,55,9900,0.5,1,917,11,3,0,0,0,0.500025069
23,22.94,54.5,9810,0.5,1,1044,2,3,0,0,0,0.499998888
0,4.15,15,2700,0.65,2,,5,3,0,0,0,0.98719697
0,3.94,10,1800,0.8,2,,2,3,0,0,0,0.980909091
0,3.94,8,1440,0.8,2,,10,3,0,0,0,0.974621212
0,3.94,8,1440,0.8,2,,1,3,0,0,0,0.884261364
0,3.94,10,1800,0.8,2,,9,3,0,0,0,0.82680303
63,11.41,30.5,5490,0.8,1,1067,6,3,0,0,0,0.800343766
63,11.61,31.5,5670,0.8,1,1039,12,3,0,0,0,0.800246753
50,25.9,56.5,10170,0.8,1,1396,7,3,0,0,0,0.800128721
50,25.9,56.5,10170,0.8,1,1292,8,3,0,0,0,0.800128721
63,48.68,59,10620,0.8,1,171,1,3,0,0,0,0.800117103
63,26.16,59,10620,0.8,1,1128,9,3,0,0,0,0.800117103
23,22.94,56.5,6570,0.6,1,865,2,3,0,0,0,0.77011398
50,22.52,56.5,10170,0.7,1,825,4,3,0,0,0,0.7005417
0,2.9,8,1440,0.8,2,,8,3,0,0,0,0.675568182
0,2.9,8,1440,0.8,2,,7,3,0,0,0,0.661837121
35,22.52,54,9720,0.65,1,1163,10,3,0,0,0,0.650198653
