team,targeted_productivity,smv,idle_men,no_of_style_change,actual_productivity
8,0.8,26.16,0,0,0.940725424
1,0.75,3.94,0,0,0.8865
11,0.8,11.41,0,0,0.800570492
12,0.8,11.41,0,0,0.800570492
6,0.8,25.9,0,0,0.800381944
7,0.8,25.9,0,0,0.800125
2,0.75,3.94,0,0,0.755166667
3,0.75,28.08,0,0,0.753683478
2,0.75,19.87,0,0,0.753097531
1,0.75,28.08,0,0,0.750427826
9,0.7,28.08,0,0,0.721126957
10,0.75,19.31,0,0,0.712205247
5,0.8,11.41,0,0,0.707045902
10,0.65,3.94,0,0,0.705916667
8,0.75,2.9,0,0,0.676666667
4,0.75,3.94,0,0,0.593055556
7,0.8,2.9,0,0,0.540729167
4,0.65,23.69,0,0,0.52118
11,0.7,4.15,0,0,0.436326389
4,0.8,4.15,0,0,0.988024691
11,0.75,2.9,0,0,0.987880435
9,0.8,4.15,0,0,0.956270833
3,0.75,3.94,0,0,0.945277778
1,0.8,3.94,0,0,0.902916667
1,0.8,28.08,0,0,0.800725314
3,0.8,28.08,0,0,0.800322936
8,0.8,26.16,0,0,0.800318644
12,0.8,26.16,0,0,0.800318644
11,0.8,11.61,0,0,0.800237288
5,0.8,11.61,0,0,0.800148649
6,0.8,25.9,0,0,0.800125
7,0.8,25.9,0,0,0.800125
10,0.75,19.31,0,0,0.787299691
2,0.8,4.15,0,0,0.782447917
2,0.75,19.87,0,0,0.75024303
10,0.7,4.15,0,0,0.7018125
4,0.7,23.69,0,0,0.700134038
9,0.7,28.08,0,0,0.699965217
8,0.8,2.9,0,0,0.628333333
7,0.8,3.94,0,0,0.6253125
3,0.75,4.15,0,0,0.991388889
9,0.8,3.94,0,0,0.931645833
1,0.8,3.94,0,0,0.915229167
6,0.8,11.61,0,0,0.879714482
4,0.8,3.94,0,0,0.861679012
9,0.8,26.16,0,0,0.850569492
7,0.8,25.9,0,0,0.850436438
8,0.8,25.9,0,0,0.850345133
4,0.8,28.08,0,0,0.800598058
1,0.8,26.16,0,0,0.800318644
2,0.8,28.08,0,0,0.800237838
12,0.8,11.61,0,0,0.800030199
2,0.8,3.94,0,0,0.792104167
10,0.7,3.94,0,0,0.759228395
11,0.75,19.31,0,0,0.750348457
3,0.75,19.87,0,0,0.75024303
10,0.7,28.08,0,0,0.699965217
8,0.8,2.9,0,0,0.682708333
7,0.8,2.9,0,0,0.667604167
5,0.7,45.67,0,0,0.603432184
11,0.75,4.15,0,0,0.345833333
1,0.8,3.94,0,0,0.961059028
11,0.8,3.94,0,0,0.939513889
4,0.8,3.94,0,0,0.893663194
3,0.75,4.15,0,0,0.875390625
9,0.8,26.16,0,0,0.850569492
9,0.8,2.9,0,0,0.820833333
2,0.8,3.94,0,0,0.804416667
7,0.8,25.9,0,0,0.800684366
8,0.8,25.9,0,0,0.800684366
1,0.8,26.16,0,0,0.800318644
11,0.8,19.31,0,0,0.800250962
6,0.8,11.61,0,0,0.800246011
12,0.8,11.61,0,0,0.800246011
2,0.8,28.08,0,0,0.800076522
4,0.8,28.08,0,0,0.800076522
10,0.75,2.9,0,0,0.763375
5,0.6,2.9,0,0,0.759270833
10,0.75,28.08,0,0,0.7504
3,0.75,19.87,0,0,0.75024303
7,0.8,3.94,0,0,0.676666667
8,0.8,2.9,0,0,0.664583333
5,0.6,21.98,0,0,0.600028736
4,0.8,3.94,0,0,0.966781346
1,0.8,3.94,0,0,0.936496212
3,0.75,4.15,0,0,0.899166667
11,0.8,4.15,0,0,0.888686869
9,0.8,3.94,0,0,0.858143939
1,0.8,26.16,0,0,0.850502311
9,0.8,26.16,0,0,0.850502311
10,0.75,3.94,0,0,0.809640152
2,0.8,3.94,0,0,0.805909091
2,0.8,28.08,0,0,0.800594466
4,0.8,28.08,0,0,0.800594466
3,0.8,19.87,0,0,0.800273829
12,0.8,11.61,0,0,0.800140969
7,0.8,25.9,0,0,0.800128721
8,0.8,25.9,0,0,0.800128721
6,0.8,11.61,0,0,0.80007657
10,0.75,28.08,0,0,0.750545455
11,0.75,19.31,0,0,0.750057851
8,0.8,2.9,0,0,0.681060606
5,0.65,21.98,0,0,0.649983281
7,0.8,2.9,0,0,0.61625
1,0.8,3.94,0,0,0.951420455
9,0.8,3.94,0,0,0.880530303
1,0.8,26.16,0,0,0.850502311
9,0.8,26.16,0,0,0.850502311
8,0.8,25.9,0,0,0.850136766
3,0.75,4.15,0,0,0.83
4,0.8,3.94,0,0,0.827186544
2,0.8,3.94,0,0,0.813371212
10,0.75,3.94,0,0,0.805909091
7,0.8,2.9,0,0,0.804640152
2,0.8,28.08,0,0,0.800594466
4,0.8,28.08,0,0,0.800594466
6,0.8,11.41,0,0,0.800343766
3,0.8,19.87,0,0,0.800273829
12,0.8,11.61,0,0,0.800246753
7,0.8,25.9,0,0,0.800128721
10,0.75,28.08,0,0,0.8
5,0.7,21.98,0,0,0.700480831
8,0.8,2.9,0,0,0.681060606
6,0.8,2.9,0,0,0.666515152
11,0.8,31.83,0,0,0.412119835
5,0.7,4.15,0,0,0.330113636
1,0.8,3.94,0,0,0.947689394
4,0.8,3.94,0,0,0.919905405
9,0.8,26.16,0,0,0.900215716
9,0.8,3.94,0,0,0.891723485
1,0.8,26.16,0,0,0.850502311
4,0.8,28.08,0,0,0.850181818
7,0.8,25.9,0,0,0.850136766
8,0.8,25.9,0,0,0.850136766
2,0.8,3.94,0,0,0.835757576
5,0.7,4.15,0,0,0.821354167
2,0.8,28.08,0,0,0.800497246
3,0.8,19.87,0,0,0.800273829
12,0.8,11.61,0,0,0.800107143
6,0.8,11.41,0,0,0.800024932
10,0.75,28.08,0,0,0.8
10,0.75,3.94,0,0,0.779791667
8,0.8,2.9,0,0,0.735984848
3,0.75,4.15,0,0,0.712626263
7,0.8,2.9,0,0,0.681060606
11,0.8,4.15,0,0,0.515606061
11,0.35,12.52,0,0,0.349951389
5,0.7,42.41,0,0,0.233705476
1,0.8,3.94,0,0,0.985
3,0.75,4.15,0,0,0.930340376
4,0.8,3.94,0,0,0.911589744
9,0.8,3.94,0,0,0.858143939
9,0.8,26.16,0,0,0.851174114
7,0.8,25.9,0,0,0.850136766
8,0.8,25.9,0,0,0.850136766
10,0.8,3.94,0,0,0.846950758
11,0.8,4.15,0,0,0.817424242
2,0.8,3.94,0,0,0.817102273
4,0.8,28.08,0,0,0.801028213
2,0.8,28.08,0,0,0.800594466
12,0.8,11.61,0,0,0.800346445
6,0.8,11.41,0,0,0.800343766
1,0.8,26.16,0,0,0.800117103
10,0.8,28.08,0,0,0.8
3,0.75,19.87,0,0,0.750098351
11,0.5,12.52,0,0,0.673245283
7,0.8,2.9,0,0,0.670075758
8,0.8,2.9,0,0,0.628882576
5,0.5,20.79,0,0,0.388007813
5,0.5,4.15,0,0,0.337973485
3,0.75,4.15,0,0,0.93532197
4,0.8,3.94,0,0,0.925643939
9,0.8,26.16,0,0,0.900215716
1,0.8,3.94,0,0,0.873068182
9,0.8,3.94,0,0,0.858143939
1,0.8,26.16,0,0,0.850502311
7,0.8,25.9,0,0,0.850136766
8,0.8,25.9,0,0,0.850136766
10,0.8,3.94,0,0,0.828295455
2,0.8,3.94,0,0,0.820833333
6,0.8,11.41,0,0,0.800343766
12,0.8,11.61,0,0,0.800246753
2,0.8,28.08,0,0,0.8
10,0.8,28.08,0,0,0.8
3,0.8,19.87,0,0,0.690182815
11,0.8,4.15,0,0,0.668087121
8,0.8,2.9,0,0,0.653598485
5,0.5,4.15,0,0,0.609138258
11,0.6,12.52,0,0,0.600229846
6,0.8,2.9,0,0,0.597348485
7,0.8,2.9,0,0,0.590435606
4,0.8,50.48,0,0,0.473134796
5,0.6,20.79,0,0,0.452979626
1,0.8,3.94,0,0,0.955151515
4,0.35,4.3,0,0,0.942213805
3,0.8,4.15,0,0,0.905454545
2,0.8,3.94,0,0,0.880530303
9,0.8,3.94,0,0,0.858143939
1,0.8,26.16,0,0,0.850522167
9,0.8,26.16,0,0,0.850502311
7,0.8,25.9,0,0,0.850136766
8,0.8,25.9,0,0,0.850136766
6,0.8,2.9,0,0,0.817424242
5,0.65,4.15,0,0,0.809564394
3,0.8,19.87,0,0,0.800273829
6,0.8,11.41,0,0,0.800181818
12,0.8,11.61,0,0,0.80007657
2,0.8,28.08,0,0,0.8
8,0.8,2.9,0,0,0.725
10,0.8,50.48,0,0,0.688557555
5,0.65,20.79,0,0,0.650040783
11,0.65,12.52,0,0,0.64998056
7,0.8,2.9,0,0,0.648106061
11,0.8,4.15,0,0,0.640577652
4,0.35,22.4,0,0,0.35063299
10,0.8,3.94,0,0,0.24625
4,0.35,4.3,0,0,0.952020202
1,0.8,3.94,0,0,0.951420455
10,0.8,3.94,0,0,0.912766667
3,0.8,4.15,0,0,0.901262626
9,0.8,3.94,0,0,0.858143939
1,0.8,26.16,0,0,0.850502311
9,0.8,26.16,0,0,0.850502311
8,0.8,25.9,0,0,0.850252525
7,0.8,25.9,0,0,0.850136766
5,0.65,4.15,0,0,0.821354167
2,0.8,3.94,0,0,0.805909091
6,0.8,11.61,0,0,0.800246753
12,0.8,11.61,0,0,0.800246753
2,0.8,28.08,0,0,0.8
3,0.8,42.27,0,0,0.705576584
8,0.8,2.9,0,0,0.681060606
7,0.8,2.9,0,0,0.670075758
11,0.8,4.15,0,0,0.601278409
11,0.7,27.13,0,0,0.582301029
5,0.7,20.79,0,0,0.526810345
4,0.5,22.4,0,0,0.500380799
10,0.35,22.4,0,0,0.35020649
11,0.8,4.15,0,0,0.934607438
4,0.35,4.3,0,0,0.908080808
7,0.8,25.9,0,0,0.900144811
1,0.8,3.94,0,0,0.891723485
5,0.65,4.15,0,0,0.864583333
9,0.8,3.94,0,0,0.858143939
9,0.8,26.16,0,0,0.850502311
8,0.8,25.9,0,0,0.850136766
7,0.8,2.9,0,0,0.837594697
3,0.8,4.15,0,0,0.820833333
12,0.8,11.61,0,0,0.800313433
6,0.8,11.61,0,0,0.800246753
1,0.8,26.16,0,0,0.800117103
5,0.7,20.79,0,0,0.700095563
8,0.8,2.9,0,0,0.667329545
4,0.6,22.4,0,0,0.600369686
10,0.5,22.4,0,0,0.499980334
11,0.35,14.61,0,0,0.35003125
10,0.8,3.94,0,0,0.332359307
2,0.8,51.02,0,0,0.311207464
2,0.8,3.94,0,0,0.247316017
4,0.35,4.3,0,0,0.988636364
10,0.8,3.94,0,0,0.953110048
1,0.8,3.94,0,0,0.884261364
5,0.65,4.15,0,0,0.860653409
9,0.8,3.94,0,0,0.858143939
1,0.8,26.16,0,0,0.850502311
8,0.8,25.9,0,0,0.850415628
7,0.8,25.9,0,0,0.850136766
9,0.8,26.16,0,0,0.800117103
6,0.8,11.61,0,0,0.80003139
12,0.8,11.61,0,0,0.80003139
5,0.7,20.79,0,0,0.700060345
7,0.8,2.9,0,0,0.689299242
3,0.5,22.52,0,0,0.660683293
4,0.65,22.52,0,0,0.650130952
8,0.8,2.9,0,0,0.606912879
10,0.6,22.52,0,0,0.600291767
11,0.5,14.89,0,0,0.500025069
2,0.5,22.94,0,0,0.499998888
5,0.65,4.15,0,0,0.98719697
2,0.8,3.94,0,0,0.980909091
10,0.8,3.94,0,0,0.974621212
1,0.8,3.94,0,0,0.884261364
9,0.8,3.94,0,0,0.82680303
6,0.8,11.41,0,0,0.800343766
12,0.8,11.61,0,0,0.800246753
7,0.8,25.9,0,0,0.800128721
8,0.8,25.9,0,0,0.800128721
1,0.8,48.68,0,0,0.800117103
9,0.8,26.16,0,0,0.800117103
2,0.6,22.94,0,0,0.77011398
4,0.7,22.52,0,0,0.7005417
8,0.8,2.9,0,0,0.675568182
7,0.8,2.9,0,0,0.661837121
10,0.65,22.52,0,0,0.650198653
3,0.6,22.52,0,0,0.600291767
11,0.6,14.89,0,0,0.600273268
6,0.8,2.9,0,0,0.465757576
5,0.7,41.19,0,0,0.452012539
11,0.8,4.15,0,0,0.313852814
5,0.6,4.15,0,0,0.852793561
11,0.65,4.15,0,0,0.838383838
6,0.8,2.9,0,0,0.804848485
6,0.8,11.41,0,0,0.800343766
7,0.8,48.84,0,0,0.800128721
8,0.8,25.9,0,0,0.800128721
9,0.8,26.16,0,0,0.800015009
4,0.7,22.52,0,0,0.7005417
10,0.7,22.52,0,0,0.700094156
7,0.8,2.9,0,0,0.692045455
12,0.8,26.87,0,0,0.662255892
3,0.65,22.52,0,0,0.650416734
11,0.65,14.89,0,0,0.650299575
2,0.65,22.94,0,0,0.650243497
8,0.8,2.9,0,0,0.639867424
5,0.6,20.4,0,0,0.600062696
9,0.8,3.94,0,0,0.582045455
1,0.8,49.1,0,0,0.403242161
10,0.7,3.94,0,0,0.235795455
4,0.7,4.3,0,0,0.977272727
9,0.8,3.94,0,0,0.964106061
5,0.65,4.15,0,0,0.958901515
6,0.8,11.41,0,0,0.800358775
8,0.8,25.9,0,0,0.800162602
9,0.8,26.16,0,0,0.800117103
12,0.8,2.9,0,0,0.793844697
2,0.7,22.94,0,0,0.750517565
4,0.7,22.52,0,0,0.750068049
3,0.7,22.52,0,0,0.750062751
10,0.7,22.52,0,0,0.750057359
11,0.7,14.89,0,0,0.700170388
8,0.8,2.9,0,0,0.683806818
5,0.65,20.4,0,0,0.650066445
7,0.8,48.84,0,0,0.576460393
1,0.5,22.94,0,0,0.549969429
10,0.7,3.94,0,0,0.538399621
11,0.7,4.15,0,0,0.409545455
12,0.35,15.26,0,0,0.35021836
5,0.7,4.15,0,0,1.033570076
6,0.8,11.41,0,0,0.800261486
8,0.8,25.9,0,0,0.800128721
9,0.8,26.16,0,0,0.800117103
4,0.7,22.52,0,0,0.750068049
10,0.7,22.52,0,0,0.750057359
3,0.7,22.52,0,0,0.750037968
2,0.7,22.94,0,0,0.750031898
9,0.8,3.94,0,0,0.72830303
11,0.7,14.89,0,0,0.700170388
5,0.7,20.4,0,0,0.700063796
8,0.8,2.9,0,0,0.639867424
12,0.5,15.26,0,0,0.500290419
7,0.35,22.94,0,0,0.400332792
11,0.7,4.15,0,0,0.362666667
4,0.75,4.3,0,0,0.978525641
2,0.7,3.94,0,0,0.912202112
4,0.75,22.52,0,0,0.900556277
6,0.8,11.61,0,0,0.850410511
9,0.8,3.94,0,0,0.827147436
8,0.8,25.9,0,0,0.800436542
2,0.7,22.94,0,0,0.800415742
10,0.7,22.52,0,0,0.800020563
5,0.7,4.15,0,0,0.758173077
5,0.7,20.4,0,0,0.750344828
3,0.7,22.52,0,0,0.750068049
11,0.7,14.89,0,0,0.700170388
1,0.65,22.94,0,0,0.700029771
12,0.6,15.26,0,0,0.60017284
8,0.8,2.9,0,0,0.594871795
9,0.8,54.56,0,0,0.520237649
1,0.65,3.94,0,0,0.505128205
7,0.5,22.52,0,0,0.500241342
11,0.7,4.15,0,0,0.470769231
7,0.6,3.94,0,0,0.957638889
10,0.75,3.94,0,0,0.940701058
4,0.75,22.52,0,0,0.849983766
2,0.7,22.94,0,0,0.800302791
6,0.8,11.61,0,0,0.800191989
10,0.75,22.52,0,0,0.800020563
1,0.7,22.94,0,0,0.750162367
3,0.7,22.52,0,0,0.750068049
5,0.7,4.15,0,0,0.742901235
5,0.7,20.4,0,0,0.700250784
11,0.7,14.89,0,0,0.700170388
4,0.75,4.3,0,0,0.670216049
1,0.7,3.94,0,0,0.649662222
2,0.7,3.94,0,0,0.649662222
6,0.8,2.9,0,0,0.626822917
12,0.6,15.26,0,0,0.600436426
7,0.6,22.52,0,0,0.60041361
8,0.8,40.99,0,0,0.555500132
9,0.5,29.12,0,0,0.500547544
3,0.7,3.94,0,0,0.460578704
8,0.8,2.9,0,0,0.397743056
12,0.6,4.08,0,0,0.327407407
5,0.7,4.15,0,0,0.966666667
10,0.75,3.94,0,0,0.937242424
8,0.8,2.9,0,0,0.910521886
2,0.75,22.94,0,0,0.90064806
4,0.75,22.52,0,0,0.900321106
11,0.75,4.15,0,0,0.896022727
3,0.75,3.94,0,0,0.895454545
7,0.65,3.94,0,0,0.870580808
12,0.7,4.08,0,0,0.858585859
1,0.7,22.94,0,0,0.800643806
10,0.75,22.52,0,0,0.80062987
6,0.8,11.61,0,0,0.800537143
3,0.75,22.52,0,0,0.80035194
12,0.75,15.26,0,0,0.750079323
11,0.75,42.97,0,0,0.750041201
5,0.7,20.4,0,0,0.700250784
4,0.75,4.3,0,0,0.651515152
7,0.65,22.52,0,0,0.650416734
9,0.6,29.12,0,0,0.600125217
2,0.75,3.94,0,0,0.578314394
1,0.7,3.94,0,0,0.578314394
8,0.35,15.09,0,0,0.34998951
9,0.6,3.94,0,0,0.261174242
5,0.7,4.15,0,0,0.973796791
2,0.75,3.94,0,0,0.970075758
1,0.7,3.94,0,0,0.970075758
3,0.75,3.94,0,0,0.961784512
10,0.75,3.94,0,0,0.955151515
4,0.75,4.3,0,0,0.952020202
4,0.75,22.52,0,0,0.900321106
2,0.75,22.94,0,0,0.850223776
1,0.7,22.94,0,0,0.800909609
3,0.75,22.52,0,0,0.800513307
6,0.8,11.61,0,0,0.800386364
10,0.75,22.52,0,0,0.800020563
7,0.65,3.94,0,0,0.749188312
7,0.7,22.52,0,0,0.7005417
12,0.7,15.26,0,0,0.70043672
5,0.7,20.4,0,0,0.700250784
9,0.65,29.12,0,0,0.650407524
12,0.7,4.08,0,0,0.618181818
11,0.75,42.97,0,0,0.59114168
8,0.5,15.09,0,0,0.500061916
8,0.8,2.9,0,0,0.329545455
3,0.75,3.94,0,0,1.059621212
10,0.75,3.94,0,0,0.997792208
4,0.75,4.3,0,0,0.963699495
5,0.7,4.15,0,0,0.959191919
2,0.75,3.94,0,0,0.910378788
1,0.7,3.94,0,0,0.910378788
4,0.8,22.52,0,0,0.850312684
6,0.8,11.61,0,0,0.800386364
3,0.75,22.52,0,0,0.80035194
2,0.75,22.94,0,0,0.800034024
1,0.7,22.94,0,0,0.800023511
10,0.75,22.52,0,0,0.800020563
12,0.7,4.08,0,0,0.769292929
5,0.75,20.4,0,0,0.750031447
9,0.7,29.12,0,0,0.70061442
12,0.7,15.26,0,0,0.70043672
7,0.65,3.94,0,0,0.646306818
8,0.6,15.09,0,0,0.600143365
11,0.35,28.08,0,0,0.350066986
2,0.75,22.52,0,0,1.000230409
3,0.75,22.52,0,0,1.000230409
10,0.8,3.94,0,0,0.979527778
4,0.8,4.3,0,0,0.940625
5,0.5,4.15,0,0,0.926388889
10,0.8,22.52,0,0,0.900129762
3,0.75,3.94,0,0,0.861875
4,0.8,22.52,0,0,0.850312684
8,0.65,3.94,0,0,0.845458333
12,0.7,4.15,0,0,0.823555556
7,0.5,4.15,0,0,0.803541667
1,0.75,22.94,0,0,0.800263218
2,0.75,3.94,0,0,0.788
1,0.75,3.94,0,0,0.77815
9,0.7,29.12,0,0,0.700386207
12,0.7,15.26,0,0,0.700164706
8,0.65,15.09,0,0,0.650307143
6,0.8,30.4,0,0,0.622828125
6,0.8,2.9,0,0,0.6225
5,0.5,20.79,0,0,0.500035345
11,0.5,48.18,0,0,0.37046657
2,0.8,22.52,0,0,1.000230409
3,0.8,22.52,0,0,1.000230409
6,0.35,2.9,0,0,0.977555556
1,0.75,3.94,0,0,0.9456
2,0.8,3.94,0,0,0.902222222
10,0.8,22.52,0,0,0.850532143
1,0.75,22.94,0,0,0.850362069
10,0.8,3.94,0,0,0.840533333
5,0.6,20.79,0,0,0.800534483
4,0.8,22.52,0,0,0.800489676
12,0.75,4.08,0,0,0.755555556
9,0.7,29.12,0,0,0.750593103
12,0.75,15.26,0,0,0.750283333
4,0.8,4.3,0,0,0.722638889
8,0.65,4.15,0,0,0.553333333
11,0.5,20.1,0,0,0.500567308
8,0.7,38.09,0,0,0.467693269
6,0.35,18.79,0,0,0.437995338
7,0.6,3.94,0,0,0.406354167
7,0.6,23.54,0,0,0.285333333
11,0.5,2.9,0,0,0.259375
2,0.8,22.52,0,0,1.000230409
4,0.8,4.3,0,0,0.989
3,0.8,22.52,0,0,0.950185965
4,0.8,22.52,0,0,0.9008
10,0.8,22.52,0,0,0.900129762
6,0.5,2.9,0,0,0.899
8,0.65,4.15,0,0,0.877552083
11,0.6,2.9,0,0,0.864583333
10,0.8,3.94,0,0,0.85695
1,0.75,3.94,0,0,0.853666667
1,0.75,22.94,0,0,0.850362069
9,0.7,29.12,0,0,0.850170115
5,0.65,20.79,0,0,0.800473729
2,0.8,3.94,0,0,0.773333333
12,0.75,15.26,0,0,0.750646667
12,0.75,4.08,0,0,0.634666667
11,0.6,20.1,0,0,0.60059761
6,0.5,18.79,0,0,0.500117677
3,0.8,3.94,0,0,0.4925
7,0.65,23.54,0,0,0.48792
3,0.8,22.52,0,0,1.000457471
2,0.8,22.52,0,0,1.000230409
2,0.8,3.94,0,0,0.971866667
3,0.8,3.94,0,0,0.971866667
4,0.8,3.94,0,0,0.971866667
10,0.8,3.94,0,0,0.971866667
1,0.75,3.94,0,0,0.971866667
9,0.75,3.94,0,0,0.971866667
12,0.75,4.08,0,0,0.971866667
5,0.7,3.94,0,0,0.971866667
7,0.7,3.94,0,0,0.971866667
8,0.65,3.94,0,0,0.971866667
11,0.65,3.94,0,0,0.971866667
6,0.6,3.94,0,0,0.971866667
10,0.8,22.52,0,0,0.920236905
4,0.8,22.52,0,0,0.900537069
9,0.75,29.12,0,0,0.850610526
1,0.75,22.94,0,0,0.850362069
12,0.75,15.26,0,0,0.750646667
5,0.7,50.89,0,0,0.656763743
11,0.65,20.1,0,0,0.650148148
6,0.6,18.79,0,0,0.600710606
7,0.7,23.54,0,0,0.388830357
8,0.5,23.54,0,0,0.286984568
8,0.65,4.15,0,0,1.0115625
2,0.8,22.52,0,0,1.000671304
1,0.8,22.94,0,0,1.000402055
1,0.75,3.94,0,0,0.950438596
3,0.8,22.52,0,0,0.950185965
2,0.8,3.94,0,0,0.912766667
7,0.7,3.94,0,0,0.892194444
10,0.8,3.94,0,0,0.8865
10,0.8,22.52,0,0,0.850532143
4,0.8,22.52,0,0,0.85011396
4,0.8,4.3,0,0,0.845069444
9,0.75,29.12,0,0,0.750593103
12,0.75,15.26,0,0,0.750450658
12,0.75,4.08,0,0,0.702666667
11,0.7,20.1,0,0,0.700508929
6,0.65,18.79,0,0,0.651007071
8,0.6,24.26,0,0,0.466821212
7,0.7,24.26,0,0,0.411553571
6,0.6,2.9,0,0,0.314166667
1,0.8,22.94,0,0,1.000602279
9,0.75,3.94,0,0,0.994270833
2,0.8,22.52,0,0,0.900158405
3,0.8,22.52,0,0,0.90014152
10,0.8,22.52,0,0,0.900129762
10,0.8,3.94,0,0,0.85695
4,0.8,4.3,0,0,0.809236111
12,0.8,15.26,0,0,0.800401961
4,0.8,22.52,0,0,0.800393224
9,0.75,29.12,0,0,0.799963218
12,0.75,4.08,0,0,0.740444444
11,0.7,20.55,0,0,0.700398148
6,0.7,18.79,0,0,0.700354545
8,0.65,4.15,0,0,0.561979167
1,0.75,3.94,0,0,0.504596491
5,0.5,30.1,0,0,0.500801724
7,0.7,24.26,0,0,0.295307738
6,0.6,2.9,0,0,0.280333333
8,0.65,24.26,0,0,0.260978788
2,0.8,3.94,0,0,1.001416667
1,0.8,22.52,0,0,1.000018551
10,0.8,22.52,0,0,0.999995238
1,0.8,3.94,0,0,0.99485
8,0.7,4.15,0,0,0.976979167
3,0.8,22.52,0,0,0.950185965
2,0.8,22.52,0,0,0.949981609
9,0.75,3.94,0,0,0.919954545
4,0.8,22.52,0,0,0.800434622
12,0.8,15.26,0,0,0.800259023
12,0.8,4.08,0,0,0.778222222
9,0.75,29.12,0,0,0.750593103
