incentive,smv,no_of_workers,over_time,targeted_productivity,actual_productivity
98,26.16,59,7080,0.8,0.940725424
0,3.94,8,960,0.75,0.8865
50,11.41,30.5,3660,0.8,0.800570492
50,11.41,30.5,3660,0.8,0.800570492
50,25.9,56,1920,0.8,0.800381944
38,25.9,56,6720,0.8,0.800125
0,3.94,8,960,0.75,0.755166667
45,28.08,57.5,6900,0.75,0.753683478
34,19.87,55,6000,0.75,0.753097531
45,28.08,57.5,6900,0.75,0.750427826
44,28.08,57.5,6900,0.7,0.721126957
45,19.31,54,6480,0.75,0.712205247
50,11.41,30.5,3660,0.8,0.707045902
0,3.94,8,960,0.65,0.705916667
0,2.9,8,960,0.75,0.676666667
0,3.94,18,2160,0.75,0.593055556
0,2.9,8,960,0.8,0.540729167
0,23.69,60,7200,0.65,0.52118
0,4.15,12,1440,0.7,0.436326389
0,4.15,20,6600,0.8,0.988024691
0,2.9,17,5640,0.75,0.987880435
0,4.15,8,960,0.8,0.956270833
0,3.94,8,1560,0.75,0.945277778
0,3.94,8,960,0.8,0.902916667
50,28.08,56.5,6300,0.8,0.800725314
50,28.08,54.5,6540,0.8,0.800322936
50,26.16,59,7080,0.8,0.800318644
63,26.16,59,7080,0.8,0.800318644
50,11.61,29.5,7080,0.8,0.800237288
50,11.61,31.5,7080,0.8,0.800148649
50,25.9,56,6720,0.8,0.800125
38,25.9,56,6720,0.8,0.800125
56,19.31,54,6480,0.75,0.787299691
0,4.15,8,960,0.8,0.782447917
45,19.87,55,6600,0.75,0.75024303
0,4.15,8,960,0.7,0.7018125
0,23.69,60,13800,0.7,0.700134038
40,28.08,57.5,6900,0.7,0.699965217
0,2.9,8,960,0.8,0.628333333
0,3.94,8,960,0.8,0.6253125
0,4.15,8,1560,0.75,0.991388889
0,3.94,8,960,0.8,0.931645833
0,3.94,8,960,0.8,0.915229167
50,11.61,31,6975,0.8,0.879714482
0,3.94,20,6600,0.8,0.861679012
60,26.16,59,7080,0.8,0.850569492
60,25.9,56.5,7020,0.8,0.850436438
45,25.9,56.5,6780,0.8,0.850345133
50,28.08,55.5,4260,0.8,0.800598058
63,26.16,59,7080,0.8,0.800318644
50,28.08,55.5,6660,0.8,0.800237838
50,11.61,31,6975,0.8,0.800030199
0,3.94,8,960,0.8,0.792104167
0,3.94,18,4320,0.7,0.759228395
45,19.31,54,6480,0.75,0.750348457
45,19.87,55,6600,0.75,0.75024303
40,28.08,57.5,6900,0.7,0.699965217
0,2.9,8,960,0.8,0.682708333
0,2.9,8,960,0.8,0.667604167
26,45.67,58,6960,0.7,0.603432184
0,4.15,8,960,0.75,0.345833333
0,3.94,8,1920,0.8,0.961059028
0,3.94,10,2400,0.8,0.939513889
0,3.94,16,3840,0.8,0.893663194
0,4.15,8,1920,0.75,0.875390625
75,26.16,59,7080,0.8,0.850569492
0,2.9,8,1920,0.8,0.820833333
0,3.94,8,960,0.8,0.804416667
50,25.9,56.5,6780,0.8,0.800684366
38,25.9,56.5,6780,0.8,0.800684366
63,26.16,59,7080,0.8,0.800318644
50,19.31,55,4800,0.8,0.800250962
50,11.61,32,7200,0.8,0.800246011
50,11.61,32,7200,0.8,0.800246011
50,28.08,57.5,6900,0.8,0.800076522
50,28.08,57.5,6900,0.8,0.800076522
0,2.9,8,960,0.75,0.763375
0,2.9,8,960,0.6,0.759270833
45,28.08,58.5,7020,0.75,0.7504
45,19.87,55,6600,0.75,0.75024303
0,3.94,8,960,0.8,0.676666667
0,2.9,8,960,0.8,0.664583333
23,21.98,58,6960,0.6,0.600028736
0,3.94,18,4440,0.8,0.966781346
0,3.94,8,1440,0.8,0.936496212
0,4.15,10,1800,0.75,0.899166667
0,4.15,15,2700,0.8,0.888686869
0,3.94,8,1440,0.8,0.858143939
75,26.16,59,10620,0.8,0.850502311
75,26.16,59,10620,0.8,0.850502311
0,3.94,8,1440,0.75,0.809640152
0,3.94,8,1440,0.8,0.805909091
50,28.08,57.5,10350,0.8,0.800594466
50,28.08,57.5,10350,0.8,0.800594466
50,19.87,55,9900,0.8,0.800273829
50,11.61,31.5,5310,0.8,0.800140969
38,25.9,56.5,10170,0.8,0.800128721
38,25.9,56.5,10170,0.8,0.800128721
38,11.61,31.5,4470,0.8,0.80007657
45,28.08,58.5,10530,0.75,0.750545455
45,19.31,55,9900,0.75,0.750057851
0,2.9,8,1440,0.8,0.681060606
35,21.98,58,10440,0.65,0.649983281
0,2.9,8,1440,0.8,0.61625
0,3.94,8,1440,0.8,0.951420455
0,3.94,8,1440,0.8,0.880530303
75,26.16,59,10620,0.8,0.850502311
75,26.16,59,10620,0.8,0.850502311
60,25.9,56.5,10170,0.8,0.850136766
0,4.15,15,2700,0.75,0.83
0,3.94,18,4440,0.8,0.827186544
0,3.94,8,1440,0.8,0.813371212
0,3.94,8,1440,0.75,0.805909091
0,2.9,8,1440,0.8,0.804640152
63,28.08,57.5,10350,0.8,0.800594466
50,28.08,57.5,10350,0.8,0.800594466
50,11.41,30.5,5490,0.8,0.800343766
50,19.87,55,9900,0.8,0.800273829
50,11.61,31.5,5670,0.8,0.800246753
50,25.9,56.5,10170,0.8,0.800128721
69,28.08,58.5,10530,0.75,0.8
40,21.98,58,9720,0.7,0.700480831
0,2.9,8,1440,0.8,0.681060606
0,2.9,10,1800,0.8,0.666515152
40,31.83,55,9900,0.8,0.412119835
0,4.15,8,1440,0.7,0.330113636
0,3.94,8,1440,0.8,0.947689394
0,3.94,20,12600,0.8,0.919905405
88,26.16,59,10620,0.8,0.900215716
0,3.94,8,1440,0.8,0.891723485
75,26.16,59,10620,0.8,0.850502311
75,28.08,58.5,10530,0.8,0.850181818
60,25.9,56.5,10170,0.8,0.850136766
60,25.9,56.5,10170,0.8,0.850136766
0,3.94,8,1440,0.8,0.835757576
0,4.15,8,3840,0.7,0.821354167
63,28.08,58.5,10050,0.8,0.800497246
50,19.87,55,9900,0.8,0.800273829
63,11.61,31.5,15120,0.8,0.800107143
50,11.41,30.5,14640,0.8,0.800024932
69,28.08,58.5,10530,0.75,0.8
0,3.94,8,1440,0.75,0.779791667
0,2.9,8,1440,0.8,0.735984848
0,4.15,12,2160,0.75,0.712626263
0,2.9,8,1440,0.8,0.681060606
0,4.15,5,900,0.8,0.515606061
38,12.52,54,25920,0.35,0.349951389
0,42.41,57,10260,0.7,0.233705476
0,3.94,8,2160,0.8,0.985
0,4.15,12,2760,0.75,0.930340376
0,3.94,20,6000,0.8,0.911589744
0,3.94,8,1440,0.8,0.858143939
75,26.16,59,10620,0.8,0.851174114
60,25.9,56.5,10170,0.8,0.850136766
60,25.9,56.5,10170,0.8,0.850136766
0,3.94,8,1440,0.8,0.846950758
0,4.15,8,1440,0.8,0.817424242
0,3.94,8,1440,0.8,0.817102273
63,28.08,58,10440,0.8,0.801028213
63,28.08,57.5,10350,0.8,0.800594466
50,11.61,31.5,4710,0.8,0.800346445
50,11.41,30.5,5490,0.8,0.800343766
63,26.16,59,10620,0.8,0.800117103
63,28.08,58.5,10530,0.8,0.8
45,19.87,56,7080,0.75,0.750098351
38,12.52,53,9540,0.5,0.673245283
0,2.9,8,1440,0.8,0.670075758
0,2.9,8,1440,0.8,0.628882576
0,20.79,56,7680,0.5,0.388007813
0,4.15,8,1440,0.5,0.337973485
0,4.15,8,1440,0.75,0.93532197
0,3.94,20,3600,0.8,0.925643939
88,26.16,59,10620,0.8,0.900215716
0,3.94,8,1440,0.8,0.873068182
0,3.94,8,1440,0.8,0.858143939
75,26.16,59,10620,0.8,0.850502311
45,25.9,56.5,10170,0.8,0.850136766
60,25.9,56.5,10170,0.8,0.850136766
0,3.94,8,1440,0.8,0.828295455
0,3.94,8,1440,0.8,0.820833333
50,11.41,30.5,5490,0.8,0.800343766
50,11.61,31.5,5670,0.8,0.800246753
63,28.08,58.5,10530,0.8,0.8
38,28.08,58.5,10530,0.8,0.8
0,19.87,55,6420,0.8,0.690182815
0,4.15,8,1440,0.8,0.668087121
0,2.9,8,1440,0.8,0.653598485
0,4.15,8,1440,0.5,0.609138258
30,12.52,53,9540,0.6,0.600229846
0,2.9,8,1440,0.8,0.597348485
0,2.9,8,1440,0.8,0.590435606
0,50.48,58,10440,0.8,0.473134796
0,20.79,57,7980,0.6,0.452979626
0,3.94,8,1440,0.8,0.955151515
0,4.3,18,3240,0.35,0.942213805
0,4.15,10,1800,0.8,0.905454545
0,3.94,8,1440,0.8,0.880530303
0,3.94,8,1440,0.8,0.858143939
75,26.16,59,8220,0.8,0.850522167
75,26.16,59,10620,0.8,0.850502311
60,25.9,56.5,10170,0.8,0.850136766
60,25.9,56.5,10170,0.8,0.850136766
0,2.9,8,1440,0.8,0.817424242
0,4.15,8,1440,0.65,0.809564394
0,19.87,55,9900,0.8,0.800273829
50,11.41,31.5,5670,0.8,0.800181818
50,11.61,31.5,4470,0.8,0.80007657
63,28.08,58.5,10530,0.8,0.8
0,2.9,8,1440,0.8,0.725
45,50.48,58.5,6930,0.8,0.688557555
0,20.79,59,8460,0.65,0.650040783
44,12.52,53,9540,0.65,0.64998056
0,2.9,8,1440,0.8,0.648106061
0,4.15,8,1440,0.8,0.640577652
0,22.4,51.5,7350,0.35,0.35063299
0,3.94,8,1440,0.8,0.24625
0,4.3,12,2160,0.35,0.952020202
0,3.94,2,1440,0.8,0.951420455
0,3.94,20,5400,0.8,0.912766667
0,4.15,9,1620,0.8,0.901262626
0,3.94,8,1440,0.8,0.858143939
75,26.16,59,10620,0.8,0.850502311
75,26.16,59,10620,0.8,0.850502311
60,25.9,57,10260,0.8,0.850252525
60,25.9,56.5,10170,0.8,0.850136766
0,4.15,8,1440,0.65,0.821354167
0,3.94,8,1440,0.8,0.805909091
50,11.61,31.5,5670,0.8,0.800246753
50,11.61,31.5,5670,0.8,0.800246753
50,28.08,58.5,10530,0.8,0.8
54,42.27,55,9900,0.8,0.705576584
0,2.9,8,1440,0.8,0.681060606
0,2.9,8,1440,0.8,0.670075758
0,4.15,8,1440,0.8,0.601278409
37,27.13,53,9540,0.7,0.582301029
0,20.79,58,10440,0.7,0.526810345
23,22.4,56.5,10170,0.5,0.500380799
23,22.4,56.5,10170,0.35,0.35020649
0,4.15,7,1980,0.8,0.934607438
0,4.3,8,2700,0.35,0.908080808
70,25.9,56.5,10170,0.8,0.900144811
0,3.94,8,1440,0.8,0.891723485
0,4.15,15,1440,0.65,0.864583333
0,3.94,8,1440,0.8,0.858143939
75,26.16,59,10620,0.8,0.850502311
60,25.9,56.5,10170,0.8,0.850136766
0,2.9,8,1440,0.8,0.837594697
0,4.15,7,1440,0.8,0.820833333
50,11.61,31.5,2970,0.8,0.800313433
38,11.61,31.5,5670,0.8,0.800246753
63,26.16,59,10620,0.8,0.800117103
0,20.79,58,7320,0.7,0.700095563
0,2.9,8,1440,0.8,0.667329545
23,22.4,57,5100,0.6,0.600369686
23,22.4,56.5,3390,0.5,0.499980334
23,14.61,55,7200,0.35,0.35003125
0,3.94,8,1260,0.8,0.332359307
27,51.02,57,4260,0.8,0.311207464
0,3.94,8,1260,0.8,0.247316017
0,4.3,20,3600,0.35,0.988636364
0,3.94,19,3420,0.8,0.953110048
0,3.94,8,1440,0.8,0.884261364
0,4.15,8,1440,0.65,0.860653409
0,3.94,8,1440,0.8,0.858143939
75,26.16,59,10620,0.8,0.850502311
60,25.9,56.5,8970,0.8,0.850415628
60,25.9,56.5,10170,0.8,0.850136766
63,26.16,59,10620,0.8,0.800117103
38,11.61,31.5,4950,0.8,0.80003139
50,11.61,31.5,4950,0.8,0.80003139
0,20.79,58,10440,0.7,0.700060345
0,2.9,8,1440,0.8,0.689299242
30,22.52,56.5,10170,0.5,0.660683293
26,22.52,56,10080,0.65,0.650130952
0,2.9,8,1440,0.8,0.606912879
23,22.52,56.5,10170,0.6,0.600291767
30,14.89,55,9900,0.5,0.500025069
23,22.94,54.5,9810,0.5,0.499998888
0,4.15,15,2700,0.65,0.98719697
0,3.94,10,1800,0.8,0.980909091
0,3.94,8,1440,0.8,0.974621212
0,3.94,8,1440,0.8,0.884261364
0,3.94,10,1800,0.8,0.82680303
63,11.41,30.5,5490,0.8,0.800343766
63,11.61,31.5,5670,0.8,0.800246753
50,25.9,56.5,10170,0.8,0.800128721
50,25.9,56.5,10170,0.8,0.800128721
63,48.68,59,10620,0.8,0.800117103
63,26.16,59,10620,0.8,0.800117103
23,22.94,56.5,6570,0.6,0.77011398
50,22.52,56.5,10170,0.7,0.7005417
0,2.9,8,1440,0.8,0.675568182
0,2.9,8,1440,0.8,0.661837121
35,22.52,54,9720,0.65,0.650198653
30,22.52,56.5,10170,0.6,0.600291767
38,14.89,56,10080,0.6,0.600273268
0,2.9,5,900,0.8,0.465757576
21,41.19,58,10440,0.7,0.452012539
0,4.15,7,1260,0.8,0.313852814
0,4.15,8,1440,0.6,0.852793561
0,4.15,12,2160,0.65,0.838383838
0,2.9,10,1800,0.8,0.804848485
63,11.41,30.5,5490,0.8,0.800343766
50,48.84,56.5,10170,0.8,0.800128721
38,25.9,56.5,10170,0.8,0.800128721
50,26.16,59,3660,0.8,0.800015009
50,22.52,56.5,10170,0.7,0.7005417
40,22.52,56,10080,0.7,0.700094156
0,2.9,8,1440,0.8,0.692045455
56,26.87,31.5,5670,0.8,0.662255892
35,22.52,56.5,10170,0.65,0.650416734
44,14.89,57,10260,0.65,0.650299575
26,22.94,56.5,10170,0.65,0.650243497
0,2.9,8,1440,0.8,0.639867424
30,20.4,58,10440,0.6,0.600062696
0,3.94,10,1800,0.8,0.582045455
24,49.1,57.5,10350,0.8,0.403242161
0,3.94,8,1440,0.7,0.235795455
0,4.3,28,5040,0.7,0.977272727
0,3.94,10,1800,0.8,0.964106061
0,4.15,8,1440,0.65,0.958901515
50,11.41,31,4380,0.8,0.800358775
50,25.9,56.5,3630,0.8,0.800162602
63,26.16,59,10620,0.8,0.800117103
0,2.9,8,1440,0.8,0.793844697
38,22.94,56.5,10170,0.7,0.750517565
63,22.52,57,10260,0.7,0.750068049
50,22.52,56.5,10170,0.7,0.750062751
63,22.52,56,10080,0.7,0.750057359
50,14.89,57,10260,0.7,0.700170388
0,2.9,8,1440,0.8,0.683806818
35,20.4,58,8280,0.65,0.650066445
30,48.84,57,10260,0.8,0.576460393
30,22.94,56.5,10170,0.5,0.549969429
0,3.94,8,1440,0.7,0.538399621
0,4.15,8,1440,0.7,0.409545455
23,15.26,34,6120,0.35,0.35021836
0,4.15,8,1440,0.7,1.033570076
63,11.41,31,5580,0.8,0.800261486
50,25.9,56.5,10170,0.8,0.800128721
63,26.16,59,10620,0.8,0.800117103
63,22.52,57,10260,0.7,0.750068049
63,22.52,56,10080,0.7,0.750057359
50,22.52,57,8460,0.7,0.750037968
50,22.94,57,10260,0.7,0.750031898
0,3.94,10,1800,0.8,0.72830303
50,14.89,57,10260,0.7,0.700170388
50,20.4,57,10260,0.7,0.700063796
0,2.9,8,1440,0.8,0.639867424
23,15.26,34,3720,0.5,0.500290419
30,22.94,56,10080,0.35,0.400332792
0,4.15,15,2700,0.7,0.362666667
0,4.3,20,6000,0.75,0.978525641
0,3.94,17,5100,0.7,0.912202112
94,22.52,56,10080,0.75,0.900556277
75,11.61,89,5760,0.8,0.850410511
0,3.94,8,2400,0.8,0.827147436
38,25.9,56.5,7470,0.8,0.800436542
60,22.94,57,10500,0.7,0.800415742
75,22.52,56,10080,0.7,0.800020563
0,4.15,8,2400,0.7,0.758173077
50,20.4,58,10440,0.7,0.750344828
63,22.52,57,10260,0.7,0.750068049
50,14.89,57,10260,0.7,0.700170388
34,22.94,57,10260,0.65,0.700029771
23,15.26,34,6360,0.6,0.60017284
0,2.9,8,2400,0.8,0.594871795
29,54.56,58,4140,0.8,0.520237649
0,3.94,8,2400,0.65,0.505128205
23,22.52,56,10080,0.5,0.500241342
0,4.15,9,2700,0.7,0.470769231
0,3.94,10,6000,0.6,0.957638889
0,3.94,14,8400,0.75,0.940701058
81,22.52,56,10080,0.75,0.849983766
60,22.94,57,10620,0.7,0.800302791
63,11.61,32,6360,0.8,0.800191989
55,22.52,56,10080,0.75,0.800020563
63,22.94,57,12180,0.7,0.750162367
63,22.52,57,10260,0.7,0.750068049
0,4.15,15,9000,0.7,0.742901235
40,20.4,58,10440,0.7,0.700250784
50,14.89,57,10260,0.7,0.700170388
0,4.3,15,9000,0.75,0.670216049
0,3.94,25,15000,0.7,0.649662222
0,3.94,25,15000,0.7,0.649662222
0,2.9,8,4800,0.8,0.626822917
23,15.26,34,6960,0.6,0.600436426
23,22.52,57,10260,0.6,0.60041361
30,40.99,56.5,10770,0.8,0.555500132
30,29.12,58,10440,0.5,0.500547544
0,3.94,20,12000,0.7,0.460578704
0,2.9,8,4800,0.8,0.397743056
0,4.08,9,5400,0.6,0.327407407
0,4.15,15,2700,0.7,0.966666667
0,3.94,10,1800,0.75,0.937242424
0,2.9,9,1620,0.8,0.910521886
94,22.94,57,10260,0.75,0.90064806
94,22.52,57,10260,0.75,0.900321106
0,4.15,10,1800,0.75,0.896022727
0,3.94,8,1440,0.75,0.895454545
0,3.94,12,2160,0.65,0.870580808
0,4.08,9,1620,0.7,0.858585859
75,22.94,57,10260,0.7,0.800643806
69,22.52,56,10080,0.75,0.80062987
63,11.61,32,5640,0.8,0.800537143
69,22.52,57,10260,0.75,0.80035194
40,15.26,34,6120,0.75,0.750079323
56,42.97,57,10260,0.75,0.750041201
50,20.4,58,10440,0.7,0.700250784
0,4.3,12,2160,0.75,0.651515152
26,22.52,56.5,10170,0.65,0.650416734
23,29.12,58,6660,0.6,0.600125217
0,3.94,8,1440,0.75,0.578314394
0,3.94,8,1440,0.7,0.578314394
23,15.09,52,9360,0.35,0.34998951
0,3.94,8,1440,0.6,0.261174242
0,4.15,17,3060,0.7,0.973796791
0,3.94,8,1440,0.75,0.970075758
0,3.94,8,1440,0.7,0.970075758
0,3.94,9,1620,0.75,0.961784512
0,3.94,19,3420,0.75,0.955151515
0,4.3,12,2160,0.75,0.952020202
94,22.52,57,10260,0.75,0.900321106
81,22.94,58.5,10530,0.75,0.850223776
75,22.94,58.5,10530,0.7,0.800909609
55,22.52,57.5,10350,0.75,0.800513307
63,11.61,32,5760,0.8,0.800386364
69,22.52,56,10080,0.75,0.800020563
0,3.94,14,2520,0.65,0.749188312
40,22.52,56.5,10170,0.7,0.7005417
40,15.26,34,6120,0.7,0.70043672
50,20.4,58,10440,0.7,0.700250784
26,29.12,58,10440,0.65,0.650407524
0,4.08,9,1620,0.7,0.618181818
40,42.97,57,10260,0.75,0.59114168
23,15.09,52,720,0.5,0.500061916
0,2.9,4,720,0.8,0.329545455
0,3.94,10,1800,0.75,1.059621212
0,3.94,21,3780,0.75,0.997792208
0,4.3,12,2160,0.75,0.963699495
0,4.15,15,2700,0.7,0.959191919
0,3.94,10,1800,0.75,0.910378788
0,3.94,10,1800,0.7,0.910378788
60,22.52,56.5,10170,0.8,0.850312684
50,11.61,32,5760,0.8,0.800386364
69,22.52,57,10260,0.75,0.80035194
55,22.94,57,10260,0.75,0.800034024
60,22.94,58,10440,0.7,0.800023511
55,22.52,56,10080,0.75,0.800020563
0,4.08,9,1620,0.7,0.769292929
56,20.4,58,10320,0.75,0.750031447
40,29.12,58,10440,0.7,0.70061442
40,15.26,34,6120,0.7,0.70043672
0,3.94,8,1440,0.65,0.646306818
23,15.09,52,360,0.6,0.600143365
23,28.08,57,10260,0.35,0.350066986
119,22.52,57,6840,0.75,1.000230409
119,22.52,57,6840,0.75,1.000230409
0,3.94,12,1440,0.8,0.979527778
0,4.3,12,1440,0.8,0.940625
0,4.15,12,1440,0.5,0.926388889
70,22.52,56,6720,0.8,0.900129762
0,3.94,12,1440,0.75,0.861875
60,22.52,56.5,6780,0.8,0.850312684
0,3.94,8,960,0.65,0.845458333
0,4.15,9,1080,0.7,0.823555556
0,4.15,8,960,0.5,0.803541667
55,22.94,58,6960,0.75,0.800263218
0,3.94,10,1200,0.75,0.788
0,3.94,10,1200,0.75,0.77815
50,29.12,58,6960,0.7,0.700386207
40,15.26,34,4080,0.7,0.700164706
23,15.09,52,240,0.65,0.650307143
34,30.4,32,3840,0.8,0.622828125
0,2.9,8,960,0.8,0.6225
30,20.79,58,6960,0.5,0.500035345
23,48.18,54,6480,0.5,0.37046657
90,22.52,57,6840,0.8,1.000230409
113,22.52,57,6840,0.8,1.000230409
0,2.9,15,1800,0.35,0.977555556
0,3.94,10,1200,0.75,0.9456
0,3.94,15,1800,0.8,0.902222222
60,22.52,56,6720,0.8,0.850532143
81,22.94,58,6960,0.75,0.850362069
0,3.94,10,1200,0.8,0.840533333
88,20.79,58,6960,0.6,0.800534483
50,22.52,56.5,6780,0.8,0.800489676
0,4.08,9,1080,0.75,0.755555556
63,29.12,58,6960,0.7,0.750593103
45,15.26,35,3600,0.75,0.750283333
0,4.3,12,1440,0.8,0.722638889
0,4.15,8,960,0.65,0.553333333
46,20.1,54,5880,0.5,0.500567308
0,38.09,52,6240,0.7,0.467693269
23,18.79,32,1800,0.35,0.437995338
0,3.94,8,960,0.6,0.406354167
0,23.54,55,6600,0.6,0.285333333
0,2.9,8,960,0.5,0.259375
113,22.52,57,6840,0.8,1.000230409
0,4.3,10,1200,0.8,0.989
100,22.52,57,6840,0.8,0.950185965
88,22.52,57.5,6900,0.8,0.9008
88,22.52,56,6720,0.8,0.900129762
0,2.9,10,1200,0.5,0.899
0,4.15,8,960,0.65,0.877552083
0,2.9,8,960,0.6,0.864583333
0,3.94,10,1200,0.8,0.85695
0,3.94,10,1200,0.75,0.853666667
81,22.94,58,6960,0.75,0.850362069
53,29.12,58,6960,0.7,0.850170115
81,20.79,59,7080,0.65,0.800473729
0,3.94,10,1200,0.8,0.773333333
45,15.26,35,4200,0.75,0.750646667
0,4.08,9,1080,0.75,0.634666667
46,20.1,51,4320,0.6,0.60059761
23,18.79,33,3960,0.5,0.500117677
0,3.94,8,960,0.8,0.4925
0,23.54,55,6600,0.65,0.48792
113,22.52,58,6960,0.8,1.000457471
113,22.52,57,6840,0.8,1.000230409
0,3.94,10,1200,0.8,0.971866667
0,3.94,8,960,0.8,0.971866667
0,3.94,10,1200,0.8,0.971866667
0,3.94,10,1200,0.8,0.971866667
0,3.94,15,1800,0.75,0.971866667
0,3.94,2,240,0.75,0.971866667
0,4.08,9,1080,0.75,0.971866667
0,3.94,2,240,0.7,0.971866667
0,3.94,10,1200,0.7,0.971866667
0,3.94,8,960,0.65,0.971866667
0,3.94,5,600,0.65,0.971866667
0,3.94,10,1200,0.6,0.971866667
93,22.52,56,6720,0.8,0.920236905
88,22.52,57.5,6660,0.8,0.900537069
81,29.12,57,6840,0.75,0.850610526
81,22.94,58,6960,0.75,0.850362069
45,15.26,35,4200,0.75,0.750646667
56,50.89,59,5880,0.7,0.656763743
49,20.1,54,6480,0.65,0.650148148
23,18.79,33,3960,0.6,0.600710606
0,23.54,56,6720,0.7,0.388830357
0,23.54,54,6480,0.5,0.286984568
0,4.15,8,960,0.65,1.0115625
113,22.52,57.5,6900,0.8,1.000671304
113,22.94,58.5,3060,0.8,1.000402055
0,3.94,19,2280,0.75,0.950438596
100,22.52,57,6840,0.8,0.950185965
0,3.94,10,1200,0.8,0.912766667
0,3.94,18,2160,0.7,0.892194444
0,3.94,10,1200,0.8,0.8865
75,22.52,56,6720,0.8,0.850532143
60,22.52,58.5,7020,0.8,0.85011396
0,4.3,12,1440,0.8,0.845069444
45,29.12,58,6960,0.75,0.750593103
45,15.26,35,1440,0.75,0.750450658
0,4.08,9,1080,0.75,0.702666667
75,20.1,54,6120,0.7,0.700508929
26,18.79,33,3960,0.65,0.651007071
0,24.26,55,6600,0.6,0.466821212
0,24.26,56,6720,0.7,0.411553571
0,2.9,10,1200,0.6,0.314166667
113,22.94,58.5,7020,0.8,1.000602279
0,3.94,8,960,0.75,0.994270833
88,22.52,58.5,7020,0.8,0.900158405
70,22.52,57,6840,0.8,0.90014152
88,22.52,56,6720,0.8,0.900129762
0,3.94,10,1200,0.8,0.85695
0,4.3,12,1440,0.8,0.809236111
63,15.26,35,3600,0.8,0.800401961
50,22.52,56.5,5940,0.8,0.800393224
55,29.12,58,6960,0.75,0.799963218
0,4.08,9,1080,0.75,0.740444444
60,20.55,54,6480,0.7,0.700398148
30,18.79,33,3960,0.7,0.700354545
0,4.15,8,960,0.65,0.561979167
0,3.94,19,2280,0.75,0.504596491
0,30.1,58,6960,0.5,0.500801724
0,24.26,56,6720,0.7,0.295307738
0,2.9,10,1200,0.6,0.280333333
0,24.26,55,6600,0.65,0.260978788
0,3.94,20,2400,0.8,1.001416667
113,22.52,57.5,6900,0.8,1.000018551
90,22.52,56,6720,0.8,0.999995238
0,3.94,10,1200,0.8,0.99485
0,4.15,8,960,0.7,0.976979167
