department,team,targeted_productivity,idle_men,no_of_style_change,actual_productivity
1,8,0.8,0,0,0.940725424
2,1,0.75,0,0,0.8865
1,11,0.8,0,0,0.800570492
1,12,0.8,0,0,0.800570492
1,6,0.8,0,0,0.800381944
1,7,0.8,0,0,0.800125
2,2,0.75,0,0,0.755166667
1,3,0.75,0,0,0.753683478
1,2,0.75,0,0,0.753097531
1,1,0.75,0,0,0.750427826
1,9,0.7,0,0,0.721126957
1,10,0.75,0,0,0.712205247
1,5,0.8,0,0,0.707045902
2,10,0.65,0,0,0.705916667
2,8,0.75,0,0,0.676666667
2,4,0.75,0,0,0.593055556
2,7,0.8,0,0,0.540729167
1,4,0.65,0,0,0.52118
2,11,0.7,0,0,0.436326389
2,4,0.8,0,0,0.988024691
2,11,0.75,0,0,0.987880435
2,9,0.8,0,0,0.956270833
2,3,0.75,0,0,0.945277778
2,1,0.8,0,0,0.902916667
1,1,0.8,0,0,0.800725314
1,3,0.8,0,0,0.800322936
1,8,0.8,0,0,0.800318644
1,12,0.8,0,0,0.800318644
1,11,0.8,0,0,0.800237288
1,5,0.8,0,0,0.800148649
1,6,0.8,0,0,0.800125
1,7,0.8,0,0,0.800125
1,10,0.75,0,0,0.787299691
2,2,0.8,0,0,0.782447917
1,2,0.75,0,0,0.75024303
2,10,0.7,0,0,0.7018125
1,4,0.7,0,0,0.700134038
1,9,0.7,0,0,0.699965217
2,8,0.8,0,0,0.628333333
2,7,0.8,0,0,0.6253125
2,3,0.75,0,0,0.991388889
2,9,0.8,0,0,0.931645833
2,1,0.8,0,0,0.915229167
1,6,0.8,0,0,0.879714482
2,4,0.8,0,0,0.861679012
1,9,0.8,0,0,0.850569492
1,7,0.8,0,0,0.850436438
1,8,0.8,0,0,0.850345133
1,4,0.8,0,0,0.800598058
1,1,0.8,0,0,0.800318644
1,2,0.8,0,0,0.800237838
1,12,0.8,0,0,0.800030199
2,2,0.8,0,0,0.792104167
2,10,0.7,0,0,0.759228395
1,11,0.75,0,0,0.750348457
1,3,0.75,0,0,0.75024303
1,10,0.7,0,0,0.699965217
2,8,0.8,0,0,0.682708333
2,7,0.8,0,0,0.667604167
1,5,0.7,0,0,0.603432184
2,11,0.75,0,0,0.345833333
2,1,0.8,0,0,0.961059028
2,11,0.8,0,0,0.939513889
2,4,0.8,0,0,0.893663194
2,3,0.75,0,0,0.875390625
1,9,0.8,0,0,0.850569492
2,9,0.8,0,0,0.820833333
2,2,0.8,0,0,0.804416667
1,7,0.8,0,0,0.800684366
1,8,0.8,0,0,0.800684366
1,1,0.8,0,0,0.800318644
1,11,0.8,0,0,0.800250962
1,6,0.8,0,0,0.800246011
1,12,0.8,0,0,0.800246011
1,2,0.8,0,0,0.800076522
1,4,0.8,0,0,0.800076522
2,10,0.75,0,0,0.763375
2,5,0.6,0,0,0.759270833
1,10,0.75,0,0,0.7504
1,3,0.75,0,0,0.75024303
2,7,0.8,0,0,0.676666667
2,8,0.8,0,0,0.664583333
1,5,0.6,0,0,0.600028736
2,4,0.8,0,0,0.966781346
2,1,0.8,0,0,0.936496212
2,3,0.75,0,0,0.899166667
2,11,0.8,0,0,0.888686869
2,9,0.8,0,0,0.858143939
1,1,0.8,0,0,0.850502311
1,9,0.8,0,0,0.850502311
2,10,0.75,0,0,0.809640152
2,2,0.8,0,0,0.805909091
1,2,0.8,0,0,0.800594466
1,4,0.8,0,0,0.800594466
1,3,0.8,0,0,0.800273829
1,12,0.8,0,0,0.800140969
1,7,0.8,0,0,0.800128721
1,8,0.8,0,0,0.800128721
1,6,0.8,0,0,0.80007657
1,10,0.75,0,0,0.750545455
1,11,0.75,0,0,0.750057851
2,8,0.8,0,0,0.681060606
1,5,0.65,0,0,0.649983281
2,7,0.8,0,0,0.61625
2,1,0.8,0,0,0.951420455
2,9,0.8,0,0,0.880530303
1,1,0.8,0,0,0.850502311
1,9,0.8,0,0,0.850502311
1,8,0.8,0,0,0.850136766
2,3,0.75,0,0,0.83
2,4,0.8,0,0,0.827186544
2,2,0.8,0,0,0.813371212
2,10,0.75,0,0,0.805909091
2,7,0.8,0,0,0.804640152
1,2,0.8,0,0,0.800594466
1,4,0.8,0,0,0.800594466
1,6,0.8,0,0,0.800343766
1,3,0.8,0,0,0.800273829
1,12,0.8,0,0,0.800246753
1,7,0.8,0,0,0.800128721
1,10,0.75,0,0,0.8
1,5,0.7,0,0,0.700480831
2,8,0.8,0,0,0.681060606
2,6,0.8,0,0,0.666515152
1,11,0.8,0,0,0.412119835
2,5,0.7,0,0,0.330113636
2,1,0.8,0,0,0.947689394
2,4,0.8,0,0,0.919905405
1,9,0.8,0,0,0.900215716
2,9,0.8,0,0,0.891723485
1,1,0.8,0,0,0.850502311
1,4,0.8,0,0,0.850181818
1,7,0.8,0,0,0.850136766
1,8,0.8,0,0,0.850136766
2,2,0.8,0,0,0.835757576
2,5,0.7,0,0,0.821354167
1,2,0.8,0,0,0.800497246
1,3,0.8,0,0,0.800273829
1,12,0.8,0,0,0.800107143
1,6,0.8,0,0,0.800024932
1,10,0.75,0,0,0.8
2,10,0.75,0,0,0.779791667
2,8,0.8,0,0,0.735984848
2,3,0.75,0,0,0.712626263
2,7,0.8,0,0,0.681060606
2,11,0.8,0,0,0.515606061
1,11,0.35,0,0,0.349951389
1,5,0.7,0,0,0.233705476
2,1,0.8,0,0,0.985
2,3,0.75,0,0,0.930340376
2,4,0.8,0,0,0.911589744
2,9,0.8,0,0,0.858143939
1,9,0.8,0,0,0.851174114
1,7,0.8,0,0,0.850136766
1,8,0.8,0,0,0.850136766
2,10,0.8,0,0,0.846950758
2,11,0.8,0,0,0.817424242
2,2,0.8,0,0,0.817102273
1,4,0.8,0,0,0.801028213
1,2,0.8,0,0,0.800594466
1,12,0.8,0,0,0.800346445
1,6,0.8,0,0,0.800343766
1,1,0.8,0,0,0.800117103
1,10,0.8,0,0,0.8
1,3,0.75,0,0,0.750098351
1,11,0.5,0,0,0.673245283
2,7,0.8,0,0,0.670075758
2,8,0.8,0,0,0.628882576
1,5,0.5,0,0,0.388007813
2,5,0.5,0,0,0.337973485
2,3,0.75,0,0,0.93532197
2,4,0.8,0,0,0.925643939
1,9,0.8,0,0,0.900215716
2,1,0.8,0,0,0.873068182
2,9,0.8,0,0,0.858143939
1,1,0.8,0,0,0.850502311
1,7,0.8,0,0,0.850136766
1,8,0.8,0,0,0.850136766
2,10,0.8,0,0,0.828295455
2,2,0.8,0,0,0.820833333
1,6,0.8,0,0,0.800343766
1,12,0.8,0,0,0.800246753
1,2,0.8,0,0,0.8
1,10,0.8,0,0,0.8
1,3,0.8,0,0,0.690182815
2,11,0.8,0,0,0.668087121
2,8,0.8,0,0,0.653598485
2,5,0.5,0,0,0.609138258
1,11,0.6,0,0,0.600229846
2,6,0.8,0,0,0.597348485
2,7,0.8,0,0,0.590435606
1,4,0.8,0,0,0.473134796
1,5,0.6,0,0,0.452979626
2,1,0.8,0,0,0.955151515
2,4,0.35,0,0,0.942213805
2,3,0.8,0,0,0.905454545
2,2,0.8,0,0,0.880530303
2,9,0.8,0,0,0.858143939
1,1,0.8,0,0,0.850522167
1,9,0.8,0,0,0.850502311
1,7,0.8,0,0,0.850136766
1,8,0.8,0,0,0.850136766
2,6,0.8,0,0,0.817424242
2,5,0.65,0,0,0.809564394
1,3,0.8,0,0,0.800273829
1,6,0.8,0,0,0.800181818
1,12,0.8,0,0,0.80007657
1,2,0.8,0,0,0.8
2,8,0.8,0,0,0.725
1,10,0.8,0,0,0.688557555
1,5,0.65,0,0,0.650040783
1,11,0.65,0,0,0.64998056
2,7,0.8,0,0,0.648106061
2,11,0.8,0,0,0.640577652
1,4,0.35,0,0,0.35063299
2,10,0.8,0,0,0.24625
2,4,0.35,0,0,0.952020202
2,1,0.8,0,0,0.951420455
2,10,0.8,0,0,0.912766667
2,3,0.8,0,0,0.901262626
2,9,0.8,0,0,0.858143939
1,1,0.8,0,0,0.850502311
1,9,0.8,0,0,0.850502311
1,8,0.8,0,0,0.850252525
1,7,0.8,0,0,0.850136766
2,5,0.65,0,0,0.821354167
2,2,0.8,0,0,0.805909091
1,6,0.8,0,0,0.800246753
1,12,0.8,0,0,0.800246753
1,2,0.8,0,0,0.8
1,3,0.8,0,0,0.705576584
2,8,0.8,0,0,0.681060606
2,7,0.8,0,0,0.670075758
2,11,0.8,0,0,0.601278409
1,11,0.7,0,0,0.582301029
1,5,0.7,0,0,0.526810345
1,4,0.5,0,0,0.500380799
1,10,0.35,0,0,0.35020649
2,11,0.8,0,0,0.934607438
2,4,0.35,0,0,0.908080808
1,7,0.8,0,0,0.900144811
2,1,0.8,0,0,0.891723485
2,5,0.65,0,0,0.864583333
2,9,0.8,0,0,0.858143939
1,9,0.8,0,0,0.850502311
1,8,0.8,0,0,0.850136766
2,7,0.8,0,0,0.837594697
2,3,0.8,0,0,0.820833333
1,12,0.8,0,0,0.800313433
1,6,0.8,0,0,0.800246753
1,1,0.8,0,0,0.800117103
1,5,0.7,0,0,0.700095563
2,8,0.8,0,0,0.667329545
1,4,0.6,0,0,0.600369686
1,10,0.5,0,0,0.499980334
1,11,0.35,0,0,0.35003125
2,10,0.8,0,0,0.332359307
1,2,0.8,0,0,0.311207464
2,2,0.8,0,0,0.247316017
2,4,0.35,0,0,0.988636364
2,10,0.8,0,0,0.953110048
2,1,0.8,0,0,0.884261364
2,5,0.65,0,0,0.860653409
2,9,0.8,0,0,0.858143939
1,1,0.8,0,0,0.850502311
1,8,0.8,0,0,0.850415628
1,7,0.8,0,0,0.850136766
1,9,0.8,0,0,0.800117103
1,6,0.8,0,0,0.80003139
1,12,0.8,0,0,0.80003139
1,5,0.7,0,0,0.700060345
2,7,0.8,0,0,0.689299242
1,3,0.5,0,0,0.660683293
1,4,0.65,0,0,0.650130952
2,8,0.8,0,0,0.606912879
1,10,0.6,0,0,0.600291767
1,11,0.5,0,0,0.500025069
1,2,0.5,0,0,0.499998888
2,5,0.65,0,0,0.98719697
2,2,0.8,0,0,0.980909091
2,10,0.8,0,0,0.974621212
2,1,0.8,0,0,0.884261364
2,9,0.8,0,0,0.82680303
1,6,0.8,0,0,0.800343766
1,12,0.8,0,0,0.800246753
1,7,0.8,0,0,0.800128721
1,8,0.8,0,0,0.800128721
1,1,0.8,0,0,0.800117103
1,9,0.8,0,0,0.800117103
1,2,0.6,0,0,0.77011398
1,4,0.7,0,0,0.7005417
2,8,0.8,0,0,0.675568182
2,7,0.8,0,0,0.661837121
1,10,0.65,0,0,0.650198653
1,3,0.6,0,0,0.600291767
1,11,0.6,0,0,0.600273268
2,6,0.8,0,0,0.465757576
1,5,0.7,0,0,0.452012539
2,11,0.8,0,0,0.313852814
2,5,0.6,0,0,0.852793561
2,11,0.65,0,0,0.838383838
2,6,0.8,0,0,0.804848485
1,6,0.8,0,0,0.800343766
1,7,0.8,0,0,0.800128721
1,8,0.8,0,0,0.800128721
1,9,0.8,0,0,0.800015009
1,4,0.7,0,0,0.7005417
1,10,0.7,0,0,0.700094156
2,7,0.8,0,0,0.692045455
1,12,0.8,0,0,0.662255892
1,3,0.65,0,0,0.650416734
1,11,0.65,0,0,0.650299575
1,2,0.65,0,0,0.650243497
2,8,0.8,0,0,0.639867424
1,5,0.6,0,0,0.600062696
2,9,0.8,0,0,0.582045455
1,1,0.8,0,0,0.403242161
2,10,0.7,0,0,0.235795455
2,4,0.7,0,0,0.977272727
2,9,0.8,0,0,0.964106061
2,5,0.65,0,0,0.958901515
1,6,0.8,0,0,0.800358775
1,8,0.8,0,0,0.800162602
1,9,0.8,0,0,0.800117103
2,12,0.8,0,0,0.793844697
1,2,0.7,0,0,0.750517565
1,4,0.7,0,0,0.750068049
1,3,0.7,0,0,0.750062751
1,10,0.7,0,0,0.750057359
1,11,0.7,0,0,0.700170388
2,8,0.8,0,0,0.683806818
1,5,0.65,0,0,0.650066445
1,7,0.8,0,0,0.576460393
1,1,0.5,0,0,0.549969429
2,10,0.7,0,0,0.538399621
2,11,0.7,0,0,0.409545455
1,12,0.35,0,0,0.35021836
2,5,0.7,0,0,1.033570076
1,6,0.8,0,0,0.800261486
1,8,0.8,0,0,0.800128721
1,9,0.8,0,0,0.800117103
1,4,0.7,0,0,0.750068049
1,10,0.7,0,0,0.750057359
1,3,0.7,0,0,0.750037968
1,2,0.7,0,0,0.750031898
2,9,0.8,0,0,0.72830303
1,11,0.7,0,0,0.700170388
1,5,0.7,0,0,0.700063796
2,8,0.8,0,0,0.639867424
1,12,0.5,0,0,0.500290419
1,7,0.35,0,0,0.400332792
2,11,0.7,0,0,0.362666667
2,4,0.75,0,0,0.978525641
2,2,0.7,0,0,0.912202112
1,4,0.75,0,0,0.900556277
1,6,0.8,0,0,0.850410511
2,9,0.8,0,0,0.827147436
1,8,0.8,0,0,0.800436542
1,2,0.7,0,0,0.800415742
1,10,0.7,0,0,0.800020563
2,5,0.7,0,0,0.758173077
1,5,0.7,0,0,0.750344828
1,3,0.7,0,0,0.750068049
1,11,0.7,0,0,0.700170388
1,1,0.65,0,0,0.700029771
1,12,0.6,0,0,0.60017284
2,8,0.8,0,0,0.594871795
1,9,0.8,0,0,0.520237649
2,1,0.65,0,0,0.505128205
1,7,0.5,0,0,0.500241342
2,11,0.7,0,0,0.470769231
2,7,0.6,0,0,0.957638889
2,10,0.75,0,0,0.940701058
1,4,0.75,0,0,0.849983766
1,2,0.7,0,0,0.800302791
1,6,0.8,0,0,0.800191989
1,10,0.75,0,0,0.800020563
1,1,0.7,0,0,0.750162367
1,3,0.7,0,0,0.750068049
2,5,0.7,0,0,0.742901235
1,5,0.7,0,0,0.700250784
1,11,0.7,0,0,0.700170388
2,4,0.75,0,0,0.670216049
2,1,0.7,0,0,0.649662222
2,2,0.7,0,0,0.649662222
2,6,0.8,0,0,0.626822917
1,12,0.6,0,0,0.600436426
1,7,0.6,0,0,0.60041361
1,8,0.8,0,0,0.555500132
1,9,0.5,0,0,0.500547544
2,3,0.7,0,0,0.460578704
2,8,0.8,0,0,0.397743056
2,12,0.6,0,0,0.327407407
2,5,0.7,0,0,0.966666667
2,10,0.75,0,0,0.937242424
2,8,0.8,0,0,0.910521886
1,2,0.75,0,0,0.90064806
1,4,0.75,0,0,0.900321106
2,11,0.75,0,0,0.896022727
2,3,0.75,0,0,0.895454545
2,7,0.65,0,0,0.870580808
2,12,0.7,0,0,0.858585859
1,1,0.7,0,0,0.800643806
1,10,0.75,0,0,0.80062987
1,6,0.8,0,0,0.800537143
1,3,0.75,0,0,0.80035194
1,12,0.75,0,0,0.750079323
1,11,0.75,0,0,0.750041201
1,5,0.7,0,0,0.700250784
2,4,0.75,0,0,0.651515152
1,7,0.65,0,0,0.650416734
1,9,0.6,0,0,0.600125217
2,2,0.75,0,0,0.578314394
2,1,0.7,0,0,0.578314394
1,8,0.35,0,0,0.34998951
2,9,0.6,0,0,0.261174242
2,5,0.7,0,0,0.973796791
2,2,0.75,0,0,0.970075758
2,1,0.7,0,0,0.970075758
2,3,0.75,0,0,0.961784512
2,10,0.75,0,0,0.955151515
2,4,0.75,0,0,0.952020202
1,4,0.75,0,0,0.900321106
1,2,0.75,0,0,0.850223776
1,1,0.7,0,0,0.800909609
1,3,0.75,0,0,0.800513307
1,6,0.8,0,0,0.800386364
1,10,0.75,0,0,0.800020563
2,7,0.65,0,0,0.749188312
1,7,0.7,0,0,0.7005417
1,12,0.7,0,0,0.70043672
1,5,0.7,0,0,0.700250784
1,9,0.65,0,0,0.650407524
2,12,0.7,0,0,0.618181818
1,11,0.75,0,0,0.59114168
1,8,0.5,0,0,0.500061916
2,8,0.8,0,0,0.329545455
2,3,0.75,0,0,1.059621212
2,10,0.75,0,0,0.997792208
2,4,0.75,0,0,0.963699495
2,5,0.7,0,0,0.959191919
2,2,0.75,0,0,0.910378788
2,1,0.7,0,0,0.910378788
1,4,0.8,0,0,0.850312684
1,6,0.8,0,0,0.800386364
1,3,0.75,0,0,0.80035194
1,2,0.75,0,0,0.800034024
1,1,0.7,0,0,0.800023511
1,10,0.75,0,0,0.800020563
2,12,0.7,0,0,0.769292929
1,5,0.75,0,0,0.750031447
1,9,0.7,0,0,0.70061442
1,12,0.7,0,0,0.70043672
2,7,0.65,0,0,0.646306818
1,8,0.6,0,0,0.600143365
1,11,0.35,0,0,0.350066986
1,2,0.75,0,0,1.000230409
1,3,0.75,0,0,1.000230409
2,10,0.8,0,0,0.979527778
2,4,0.8,0,0,0.940625
2,5,0.5,0,0,0.926388889
1,10,0.8,0,0,0.900129762
2,3,0.75,0,0,0.861875
1,4,0.8,0,0,0.850312684
2,8,0.65,0,0,0.845458333
2,12,0.7,0,0,0.823555556
2,7,0.5,0,0,0.803541667
1,1,0.75,0,0,0.800263218
2,2,0.75,0,0,0.788
2,1,0.75,0,0,0.77815
1,9,0.7,0,0,0.700386207
1,12,0.7,0,0,0.700164706
1,8,0.65,0,0,0.650307143
1,6,0.8,0,0,0.622828125
2,6,0.8,0,0,0.6225
1,5,0.5,0,0,0.500035345
1,11,0.5,0,0,0.37046657
1,2,0.8,0,0,1.000230409
1,3,0.8,0,0,1.000230409
2,6,0.35,0,0,0.977555556
2,1,0.75,0,0,0.9456
2,2,0.8,0,0,0.902222222
1,10,0.8,0,0,0.850532143
1,1,0.75,0,0,0.850362069
2,10,0.8,0,0,0.840533333
1,5,0.6,0,0,0.800534483
1,4,0.8,0,0,0.800489676
2,12,0.75,0,0,0.755555556
1,9,0.7,0,0,0.750593103
1,12,0.75,0,0,0.750283333
2,4,0.8,0,0,0.722638889
2,8,0.65,0,0,0.553333333
1,11,0.5,0,0,0.500567308
1,8,0.7,0,0,0.467693269
1,6,0.35,0,0,0.437995338
2,7,0.6,0,0,0.406354167
1,7,0.6,0,0,0.285333333
2,11,0.5,0,0,0.259375
1,2,0.8,0,0,1.000230409
2,4,0.8,0,0,0.989
1,3,0.8,0,0,0.950185965
1,4,0.8,0,0,0.9008
1,10,0.8,0,0,0.900129762
2,6,0.5,0,0,0.899
2,8,0.65,0,0,0.877552083
2,11,0.6,0,0,0.864583333
2,10,0.8,0,0,0.85695
2,1,0.75,0,0,0.853666667
1,1,0.75,0,0,0.850362069
1,9,0.7,0,0,0.850170115
1,5,0.65,0,0,0.800473729
2,2,0.8,0,0,0.773333333
1,12,0.75,0,0,0.750646667
2,12,0.75,0,0,0.634666667
1,11,0.6,0,0,0.60059761
1,6,0.5,0,0,0.500117677
2,3,0.8,0,0,0.4925
1,7,0.65,0,0,0.48792
1,3,0.8,0,0,1.000457471
1,2,0.8,0,0,1.000230409
2,2,0.8,0,0,0.971866667
2,3,0.8,0,0,0.971866667
2,4,0.8,0,0,0.971866667
2,10,0.8,0,0,0.971866667
2,1,0.75,0,0,0.971866667
2,9,0.75,0,0,0.971866667
2,12,0.75,0,0,0.971866667
2,5,0.7,0,0,0.971866667
2,7,0.7,0,0,0.971866667
2,8,0.65,0,0,0.971866667
2,11,0.65,0,0,0.971866667
2,6,0.6,0,0,0.971866667
1,10,0.8,0,0,0.920236905
1,4,0.8,0,0,0.900537069
1,9,0.75,0,0,0.850610526
1,1,0.75,0,0,0.850362069
1,12,0.75,0,0,0.750646667
1,5,0.7,0,0,0.656763743
1,11,0.65,0,0,0.650148148
1,6,0.6,0,0,0.600710606
1,7,0.7,0,0,0.388830357
1,8,0.5,0,0,0.286984568
2,8,0.65,0,0,1.0115625
1,2,0.8,0,0,1.000671304
1,1,0.8,0,0,1.000402055
2,1,0.75,0,0,0.950438596
1,3,0.8,0,0,0.950185965
2,2,0.8,0,0,0.912766667
2,7,0.7,0,0,0.892194444
2,10,0.8,0,0,0.8865
1,10,0.8,0,0,0.850532143
1,4,0.8,0,0,0.85011396
2,4,0.8,0,0,0.845069444
1,9,0.75,0,0,0.750593103
1,12,0.75,0,0,0.750450658
2,12,0.75,0,0,0.702666667
1,11,0.7,0,0,0.700508929
1,6,0.65,0,0,0.651007071
1,8,0.6,0,0,0.466821212
1,7,0.7,0,0,0.411553571
2,6,0.6,0,0,0.314166667
1,1,0.8,0,0,1.000602279
2,9,0.75,0,0,0.994270833
1,2,0.8,0,0,0.900158405
1,3,0.8,0,0,0.90014152
1,10,0.8,0,0,0.900129762
2,10,0.8,0,0,0.85695
2,4,0.8,0,0,0.809236111
1,12,0.8,0,0,0.800401961
1,4,0.8,0,0,0.800393224
1,9,0.75,0,0,0.799963218
2,12,0.75,0,0,0.740444444
1,11,0.7,0,0,0.700398148
1,6,0.7,0,0,0.700354545
2,8,0.65,0,0,0.561979167
2,1,0.75,0,0,0.504596491
1,5,0.5,0,0,0.500801724
1,7,0.7,0,0,0.295307738
2,6,0.6,0,0,0.280333333
1,8,0.65,0,0,0.260978788
2,2,0.8,0,0,1.001416667
1,1,0.8,0,0,1.000018551
1,10,0.8,0,0,0.999995238
2,1,0.8,0,0,0.99485
2,8,0.7,0,0,0.976979167
1,3,0.8,0,0,0.950185965
1,2,0.8,0,0,0.949981609
2,9,0.75,0,0,0.919954545
1,4,0.8,0,0,0.800434622
1,12,0.8,0,0,0.800259023
2,12,0.8,0,0,0.778222222
1,9,0.75,0,0,0.750593103
1,11,0.7,0,0,0.700513566
