department,team,targeted_productivity,idle_men,no_of_style_change,actual_productivity
1,6,0.7,0,0,0.700184577
1,8,0.7,0,0,0.586465465
1,7,0.7,0,0,0.541517857
2,4,0.8,0,0,0.5375
2,6,0.7,0,0,0.495416667
1,5,0.6,0,0,0.415172414
1,2,0.8,0,0,1.05028058
1,3,0.8,0,0,1.000230409
1,10,0.8,0,0,0.999995238
2,2,0.8,0,0,0.966759259
2,1,0.8,0,0,0.929183333
2,8,0.7,0,0,0.915766667
1,1,0.8,0,0,0.900147246
1,12,0.8,0,0,0.800401961
1,9,0.8,0,0,0.799963218
2,7,0.7,0,0,0.779791667
2,9,0.75,0,0,0.755166667
1,6,0.7,0,0,0.700710417
1,7,0.7,0,0,0.700612069
1,11,0.7,0,0,0.700278846
1,8,0.7,0,0,0.700135088
2,12,0.8,0,0,0.687555556
1,5,0.65,10,0,0.650834808
2,6,0.7,0,0,0.531666667
1,4,0.35,15,0,0.350706422
1,2,0.8,0,0,1.000446018
1,1,0.8,0,0,1.000018551
1,10,0.8,0,0,0.999995238
2,2,0.8,0,0,0.999924242
1,3,0.8,0,0,0.950185965
2,6,0.7,0,0,0.9425
2,12,0.8,0,0,0.906666667
2,7,0.7,0,0,0.8471
2,1,0.8,0,0,0.845458333
1,12,0.8,0,0,0.800612676
1,9,0.8,0,0,0.799963218
2,10,0.8,0,0,0.771583333
1,11,0.75,0,0,0.7504
1,6,0.7,0,0,0.700079032
1,5,0.7,0,0,0.562212644
1,7,0.07,0,0,0.522844828
1,4,0.5,0,1,0.500720126
1,8,0.7,0,0,0.496549708
2,2,0.8,0,0,1.050666667
1,2,0.8,0,0,1.000018551
1,3,0.8,0,0,0.950185965
1,1,0.8,0,0,0.900135693
1,10,0.8,0,0,0.900129762
2,12,0.8,0,0,0.899111111
2,1,0.8,0,0,0.870083333
2,6,0.75,0,0,0.845833333
1,12,0.8,0,0,0.800401961
1,9,0.8,0,0,0.799963218
2,9,0.8,0,0,0.771583333
1,6,0.75,0,0,0.750520115
1,11,0.75,0,0,0.750027778
2,7,0.7,0,0,0.715766667
1,7,0.7,45,0,0.662270115
1,4,0.6,0,1,0.600224189
1,5,0.7,0,0,0.545657673
2,4,0.8,0,0,0.447916667
1,8,0.7,37,0,0.365318713
1,2,0.8,0,0,1.000018551
2,7,0.7,0,0,0.928680556
1,10,0.8,0,0,0.9008
1,1,0.8,0,0,0.900135693
1,3,0.8,0,0,0.900129762
2,1,0.8,0,0,0.893066667
2,12,0.8,0,0,0.891555556
2,2,0.8,0,0,0.875555556
2,8,0.7,0,0,0.840888889
1,12,0.8,0,0,0.800355208
1,9,0.8,0,0,0.799963218
1,6,0.75,0,0,0.75065101
1,11,0.75,0,0,0.750027778
1,5,0.7,0,0,0.700618234
2,6,0.75,0,0,0.610208333
2,9,0.8,0,0,0.607416667
1,4,0.65,0,1,0.568259587
1,7,0.7,0,0,0.355534483
1,8,0.7,0,0,0.353259649
2,2,0.8,0,0,1.057962963
2,1,0.8,0,0,0.962016667
1,10,0.8,0,0,0.9008
1,1,0.8,0,0,0.900509044
1,2,0.8,0,0,0.900477825
2,6,0.75,0,0,0.888125
1,12,0.8,0,0,0.800401961
1,3,0.8,0,0,0.800161172
1,9,0.8,0,0,0.799963218
1,4,0.7,0,1,0.790003236
1,11,0.75,0,0,0.750648148
2,8,0.35,0,0,0.707111111
1,5,0.7,0,0,0.700618234
2,9,0.8,0,0,0.697708333
1,6,0.75,0,0,0.612517157
1,7,0.35,0,1,0.350301724
1,8,0.35,0,1,0.350301724
2,12,0.8,0,0,0.272
2,12,0.8,0,0,1.004888889
2,2,0.8,0,0,0.966759259
1,10,0.8,0,0,0.90063244
1,1,0.8,0,0,0.90047076
1,3,0.8,0,0,0.90047076
1,2,0.8,0,0,0.899984058
2,1,0.8,0,0,0.853666667
1,9,0.8,0,0,0.8008
1,12,0.8,0,0,0.800401961
2,4,0.7,0,0,0.796755556
1,6,0.75,0,0,0.750797009
1,11,0.8,0,0,0.750648148
1,5,0.75,0,0,0.750356125
2,8,0.35,0,0,0.703770833
1,4,0.7,0,1,0.700618234
2,9,0.8,0,0,0.6895
2,6,0.75,0,0,0.628333333
1,7,0.5,0,1,0.500801724
1,8,0.5,0,1,0.393548851
2,4,0.7,0,0,1.033155556
2,12,0.8,0,0,1.02
1,2,0.8,0,0,1.000344928
1,1,0.8,0,0,1.000065789
2,8,0.35,0,0,0.994375
2,2,0.8,0,0,0.912037037
2,5,0.7,0,0,0.87
1,10,0.8,0,0,0.850364583
1,6,0.8,0,0,0.800947475
1,12,0.8,0,0,0.800401961
1,9,0.8,0,0,0.800144144
1,5,0.75,0,0,0.750406233
1,8,0.6,0,1,0.714410494
1,4,0.7,0,1,0.700588406
2,1,0.8,0,0,0.618361111
1,7,0.6,0,1,0.600070513
2,9,0.8,0,0,0.54175
1,3,0.8,0,1,0.536901754
1,11,0.35,0,1,0.507903226
1,1,0.8,0,0,1.100483918
2,4,0.7,0,0,1.096633333
1,2,0.8,0,0,1.000344928
2,12,0.8,0,0,0.838666667
1,12,0.8,0,0,0.800401961
2,8,0.35,0,0,0.755486111
1,5,0.75,0,0,0.750799435
1,6,0.8,0,0,0.688017677
2,1,0.8,0,0,0.664875
2,9,0.8,0,0,0.656666667
1,4,0.7,0,1,0.637711864
2,2,0.8,0,0,0.601944444
2,5,0.7,0,0,0.58
1,7,0.65,0,1,0.535677966
1,11,0.5,0,2,0.50012336
1,9,0.8,0,0,0.497885057
1,8,0.65,0,1,0.463403955
1,10,0.8,0,0,0.441392
1,3,0.35,0,1,0.350301724
1,1,0.8,0,0,1.000230409
2,7,0.7,0,0,0.929277778
2,4,0.75,0,0,0.902916667
2,12,0.8,0,0,0.800888889
1,12,0.8,0,0,0.800401961
1,2,0.8,0,0,0.80037492
2,1,0.8,0,0,0.796208333
1,4,0.75,0,1,0.750392157
1,5,0.75,0,0,0.750392157
2,8,0.7,0,0,0.725625
1,8,0.7,0,1,0.700206125
1,7,0.7,0,1,0.602
1,11,0.6,0,2,0.600447507
1,6,0.8,0,0,0.557252451
1,3,0.5,0,1,0.500801724
2,6,0.8,0,0,0.483333333
2,9,0.8,0,0,0.238041667
2,1,0.8,0,0,1.1204375
2,2,0.8,0,0,1.108125
1,1,0.8,0,0,1.000230409
2,12,0.8,0,0,0.876444444
1,12,0.8,0,0,0.800806306
2,5,0.75,0,0,0.760833333
1,5,0.8,0,0,0.722568627
2,11,0.6,0,0,0.715333333
1,7,0.7,0,1,0.700632768
1,8,0.7,10,1,0.700573099
1,6,0.75,0,0,0.681598039
1,11,0.65,0,2,0.650223718
2,8,0.7,0,0,0.605208333
2,6,0.8,0,0,0.604166667
1,4,0.75,0,1,0.598627451
1,3,0.6,0,1,0.475718391
1,2,0.8,0,0,0.432122899
2,4,0.75,0,0,0.287041667
1,9,0.5,0,1,0.283054487
1,1,0.8,0,0,1.000230409
2,9,0.8,0,0,0.960433333
2,12,0.8,0,0,0.891555556
2,3,0.5,0,0,0.864583333
1,3,0.65,0,1,0.802243319
1,5,0.8,0,0,0.800980392
1,12,0.8,0,0,0.800312375
2,6,0.8,0,0,0.773333333
1,6,0.75,0,0,0.75065101
1,4,0.75,0,1,0.750356125
2,4,0.75,0,0,0.722333333
1,7,0.7,0,1,0.700459889
2,5,0.75,0,0,0.629416667
1,8,0.7,10,2,0.621971751
1,11,0.7,0,2,0.565972222
1,10,0.6,0,1,0.35542803
1,9,0.6,0,1,0.329964879
2,7,0.7,0,0,0.258
1,1,0.8,0,0,1.000230409
2,10,0.8,0,0,0.927541667
2,7,0.7,0,0,0.91375
2,12,0.8,0,0,0.9025
1,12,0.8,0,0,0.800401961
2,3,0.5,0,0,0.7866
1,6,0.75,0,0,0.750621354
1,4,0.75,0,1,0.750356125
2,6,0.8,0,0,0.749166667
1,7,0.7,0,1,0.700888203
1,11,0.7,0,2,0.700614035
1,3,0.7,0,1,0.700603448
2,4,0.75,0,0,0.656666667
1,5,0.8,0,0,0.653431373
1,9,0.65,0,1,0.650134
1,8,0.6,30,2,0.600982906
2,9,0.8,0,0,0.586041667
2,2,0.8,0,0,0.5814
1,2,0.5,0,1,0.361071429
1,10,0.65,35,1,0.302117347
2,12,0.8,0,0,0.9918
2,6,0.8,0,0,0.936861111
2,2,0.8,0,0,0.919125
1,11,0.7,0,2,0.8211125
1,4,0.8,0,1,0.800980392
1,5,0.8,0,0,0.800980392
1,12,0.8,0,0,0.800401961
1,1,0.8,0,0,0.800279693
1,6,0.75,0,0,0.75065101
1,7,0.75,0,1,0.75053268
2,4,0.75,0,0,0.734645833
1,3,0.7,0,1,0.700603448
1,9,0.7,0,1,0.70009573
2,7,0.7,0,0,0.671875
2,10,0.8,0,0,0.64025
2,8,0.7,0,0,0.58
2,9,0.8,0,0,0.549791667
1,2,0.6,0,1,0.328131579
1,10,0.7,35,1,0.303574468
2,3,0.5,0,0,0.2565
1,8,0.65,30,2,0.251399254
2,3,0.5,0,0,0.81640625
1,12,0.8,0,0,0.800711494
1,1,0.8,0,0,0.800470513
1,4,0.8,0,1,0.800094017
1,5,0.8,15,0,0.799982853
2,6,0.8,0,0,0.785864198
1,6,0.75,0,0,0.75065101
2,10,0.8,0,0,0.733277778
2,2,0.8,0,0,0.710125
1,3,0.7,0,1,0.700603448
1,11,0.7,0,2,0.700540441
1,8,0.7,0,2,0.7
2,4,0.75,0,0,0.684027778
2,8,0.7,0,0,0.672135417
1,9,0.7,0,1,0.638614379
2,5,0.75,0,0,0.631354167
1,7,0.75,20,1,0.611140537
2,12,0.8,0,0,0.609583333
1,2,0.65,0,1,0.585315789
1,10,0.7,0,1,0.249416667
2,3,0.5,0,0,0.8721
2,6,0.8,0,0,0.8319375
2,2,0.8,0,0,0.8300625
2,11,0.6,0,0,0.805555556
1,12,0.8,0,0,0.800401961
1,4,0.8,0,1,0.80000295
2,12,0.8,0,0,0.78375
2,9,0.8,0,0,0.753525
1,6,0.75,0,0,0.75065101
2,1,0.8,0,0,0.727349537
1,8,0.7,0,2,0.700614035
1,2,0.7,0,1,0.700605263
1,11,0.75,0,2,0.672140805
1,9,0.7,0,1,0.627011183
1,3,0.7,0,2,0.626577778
1,10,0.7,0,1,0.456875
1,7,0.75,20,1,0.393548851
2,10,0.8,0,0,0.385791667
1,5,0.8,25,0,0.307501459
2,7,0.7,0,0,0.283958333
2,10,0.8,0,0,0.955791667
2,8,0.7,0,0,0.930416667
2,12,0.8,0,0,0.9025
2,3,0.8,0,0,0.87115
1,12,0.8,0,0,0.800401961
1,4,0.8,0,1,0.800137255
1,5,0.8,0,0,0.800137255
1,7,0.75,0,1,0.750770115
1,6,0.75,0,0,0.75065101
1,11,0.75,0,2,0.750293939
1,2,0.7,0,1,0.700623
1,8,0.7,0,2,0.700614035
1,3,0.7,0,2,0.700362069
1,9,0.7,0,1,0.60128
1,10,0.7,0,1,0.417916667
2,6,0.8,0,0,0.3715625
2,9,0.8,0,0,0.3715625
2,2,0.8,0,0,0.36871875
2,7,0.7,0,0,0.356458333
2,10,0.7,0,0,0.902222222
2,3,0.8,0,0,0.811388889
1,12,0.8,0,0,0.800401961
1,5,0.8,0,0,0.800137255
1,4,0.8,0,1,0.800071839
2,8,0.7,0,0,0.791458333
1,7,0.75,0,1,0.750727326
1,6,0.75,0,0,0.75065101
1,11,0.75,0,2,0.750437269
1,3,0.75,0,2,0.750176991
2,6,0.75,0,0,0.726933333
2,9,0.7,0,0,0.726933333
1,2,0.7,0,1,0.700623
1,8,0.7,0,2,0.700518519
1,9,0.7,0,1,0.700256795
2,11,0.7,0,0,0.5046875
1,10,0.7,0,1,0.471108491
2,2,0.7,0,0,0.325
1,1,0.6,0,1,0.268214286
1,9,0.75,0,1,0.970816667
2,5,0.8,0,0,0.902962963
2,3,0.8,0,0,0.900833333
2,12,0.8,0,0,0.899555556
2,10,0.7,0,0,0.845833333
1,4,0.8,0,1,0.800808642
1,12,0.8,0,0,0.800401961
1,7,0.8,0,2,0.800115819
1,6,0.75,0,1,0.75065101
1,11,0.75,0,0,0.750503571
1,3,0.75,0,2,0.750206897
1,8,0.7,0,1,0.700362069
1,2,0.7,0,1,0.700069811
1,10,0.7,0,2,0.700058333
2,7,0.75,0,0,0.676666667
2,8,0.7,0,0,0.658541667
1,5,0.8,0,1,0.598792339
1,1,0.65,0,1,0.581130952
2,2,0.7,0,0,0.440375
2,6,0.75,0,0,0.410833333
2,9,0.7,0,0,0.410833333
2,3,0.8,0,0,0.921703704
2,5,0.8,0,0,0.921604938
1,7,0.8,0,1,0.800808642
1,11,0.8,0,2,0.800516667
1,12,0.8,0,0,0.800401961
2,1,0.5,0,0,0.768847222
1,6,0.75,0,0,0.75065101
1,3,0.75,0,2,0.750473684
1,9,0.75,0,1,0.750371895
1,8,0.75,0,2,0.750206897
1,10,0.7,0,1,0.700251773
1,2,0.7,0,1,0.66237931
2,12,0.8,0,0,0.590617284
2,2,0.7,0,0,0.5565625
1,4,0.8,0,2,0.495617514
1,5,0.35,0,1,0.449964912
2,10,0.7,0,0,0.410833333
2,9,0.75,0,0,0.4078125
1,1,0.35,0,2,0.378895152
2,8,0.75,0,0,0.376597222
2,6,0.75,0,0,0.271875
2,3,0.8,0,0,0.921703704
2,5,0.8,0,0,0.921604938
1,11,0.8,0,2,0.800779018
1,12,0.8,0,0,0.800260821
1,7,0.8,0,1,0.799982853
2,1,0.5,0,0,0.768847222
1,3,0.75,0,2,0.750716981
1,6,0.75,0,0,0.75065101
1,8,0.75,0,2,0.750425926
1,9,0.75,0,1,0.750395513
1,10,0.7,0,1,0.700236601
1,2,0.7,0,1,0.700211111
2,12,0.8,0,0,0.590617284
2,2,0.7,0,0,0.5565625
1,5,0.5,0,1,0.550403509
1,1,0.5,0,2,0.550349708
1,4,0.5,0,2,0.500258046
2,10,0.7,0,0,0.410833333
2,9,0.75,0,0,0.4078125
2,8,0.75,0,0,0.376597222
2,6,0.75,0,0,0.271875
2,3,0.8,0,0,0.936355556
2,8,0.75,0,0,0.813611111
1,12,0.8,0,0,0.800401961
1,8,0.75,0,0,0.75075
1,6,0.75,0,0,0.75065101
1,3,0.75,0,0,0.750473684
1,9,0.75,0,0,0.750395513
1,5,0.6,0,0,0.707446429
1,10,0.7,0,0,0.700236601
1,1,0.6,0,0,0.700019883
1,2,0.7,0,0,0.683550607
1,11,0.8,20,0,0.682433036
2,4,0.6,0,0,0.673083333
2,10,0.7,0,0,0.664583333
1,4,0.6,0,0,0.600239766
2,2,0.7,0,0,0.585
1,7,0.8,15,0,0.579511494
2,1,0.6,0,0,0.448722222
2,9,0.75,0,0,0.447083333
2,7,0.8,0,0,0.350416667
2,2,0.7,0,0,0.92885
2,3,0.8,0,0,0.86037037
2,4,0.65,0,0,0.806879167
1,1,0.65,0,0,0.800579532
1,12,0.8,0,0,0.800401961
2,9,0.75,0,0,0.8004
1,11,0.8,0,0,0.800309211
1,3,0.8,0,0,0.800149813
1,7,0.8,0,0,0.800115819
2,8,0.75,0,0,0.773333333
1,6,0.75,0,0,0.750797009
1,8,0.75,0,0,0.750473684
1,9,0.75,0,0,0.750395513
1,4,0.65,0,0,0.750254867
1,5,0.65,0,0,0.700903571
1,10,0.7,0,0,0.70013604
2,10,0.7,0,0,0.632361111
2,12,0.8,0,0,0.607654321
2,1,0.65,0,0,0.537919444
2,7,0.8,0,0,0.342361111
2,7,0.8,0,0,0.999533333
2,3,0.8,0,0,0.902962963
1,11,0.8,0,0,0.800701754
1,1,0.7,0,0,0.800566092
1,12,0.8,0,0,0.800401961
1,3,0.8,0,0,0.800333333
1,7,0.8,0,0,0.800115819
1,4,0.7,0,0,0.750770115
1,8,0.75,0,0,0.750473684
1,9,0.75,0,0,0.750395513
1,6,0.75,0,0,0.750212553
2,8,0.75,0,0,0.702777778
1,5,0.7,0,0,0.700659649
1,10,0.7,0,0,0.699984417
2,12,0.8,0,0,0.636049383
2,2,0.4,0,0,0.567377778
2,1,0.7,0,0,0.555430556
2,4,0.7,0,0,0.555430556
2,10,0.7,0,0,0.463194444
2,5,0.7,0,0,0.354444444
2,6,0.75,0,0,0.309333333
1,2,0.4,30,1,0.30277037
2,3,0.8,0,0,0.939166667
2,8,0.8,0,0,0.930416667
2,12,0.8,0,0,0.885925926
2,9,0.75,0,0,0.83375
2,1,0.7,0,0,0.806879167
2,4,0.7,0,0,0.806058333
1,11,0.8,0,0,0.800701754
1,12,0.8,0,0,0.800401961
1,3,0.8,0,0,0.800333333
1,7,0.8,0,0,0.800055762
1,4,0.7,0,0,0.799975862
1,1,0.7,0,0,0.750651724
1,9,0.75,0,0,0.750395513
1,5,0.7,0,0,0.700424138
1,10,0.7,0,0,0.700058333
2,7,0.8,0,0,0.684888889
2,5,0.7,0,0,0.592083333
2,2,0.5,0,0,0.5403125
1,8,0.8,0,0,0.433263158
1,2,0.5,0,1,0.404144928
1,6,0.75,0,0,0.332146465
2,8,0.8,0,0,0.980984848
2,2,0.6,0,0,0.950625
2,11,0.8,0,0,0.927291667
2,12,0.8,0,0,0.868888889
2,1,0.7,0,0,0.812625
2,4,0.7,0,0,0.812625
2,3,0.8,0,0,0.810111111
1,11,0.8,0,0,0.800701754
1,3,0.8,0,0,0.800534979
1,12,0.8,0,0,0.800401961
1,1,0.7,0,0,0.750651724
1,9,0.75,0,0,0.750395513
1,4,0.7,0,0,0.750050847
1,5,0.7,0,0,0.700424138
1,10,0.7,0,0,0.700422
1,2,0.6,0,1,0.600099145
2,9,0.75,0,0,0.453125
1,7,0.8,40,0,0.366053523
1,6,0.35,0,1,0.26369382
2,12,0.8,0,0,0.868888889
1,12,0.8,0,0,0.850520588
1,1,0.7,0,0,0.850045
2,7,0.8,0,0,0.825444444
2,5,0.35,0,0,0.80575
1,4,0.7,0,0,0.800746552
1,3,0.8,0,1,0.800578947
1,11,0.8,0,0,0.800034503
2,6,0.5,0,0,0.7975
1,9,0.75,0,0,0.749987124
1,10,0.7,0,0,0.700422
2,1,0.7,0,0,0.664875
2,4,0.7,0,0,0.664875
2,11,0.8,0,0,0.657083333
1,2,0.65,0,1,0.65024031
2,8,0.8,0,0,0.590740741
2,2,0.65,0,0,0.528125
1,6,0.5,0,1,0.500528095
1,5,0.7,0,1,0.408960345
2,3,0.8,0,0,0.951944444
2,12,0.8,0,0,0.945555556
2,9,0.75,0,0,0.929074074
2,1,0.75,0,0,0.890604167
2,4,0.75,0,0,0.890604167
2,2,0.7,0,0,0.884
2,5,0.5,0,0,0.857916667
1,4,0.75,0,0,0.850084211
1,1,0.75,0,0,0.85007069
1,3,0.8,0,1,0.800511068
1,12,0.8,0,0,0.800401961
1,11,0.8,0,0,0.800034503
2,11,0.8,0,0,0.755208333
1,9,0.75,0,0,0.750371895
1,10,0.7,0,0,0.700422
1,2,0.7,0,1,0.700106061
1,6,0.6,0,1,0.601037091
1,8,0.6,0,1,0.600528571
1,5,0.5,0,1,0.500033898
2,8,0.6,0,0,0.4509375
2,10,0.7,0,0,0.441041667
2,6,0.6,0,0,0.271875
2,11,0.8,0,0,0.960625
2,12,0.8,0,0,0.902962963
2,5,0.6,0,0,0.864342593
1,4,0.75,0,0,0.850446154
1,1,0.75,0,0,0.850426891
2,9,0.75,0,0,0.841
1,3,0.8,0,1,0.800842424
1,12,0.8,0,0,0.800401961
1,11,0.8,0,0,0.800034503
2,3,0.8,0,0,0.795416667
2,4,0.75,0,0,0.7953875
2,1,0.75,0,0,0.794566667
1,9,0.75,0,0,0.750395513
1,2,0.7,0,1,0.700516224
1,10,0.7,0,0,0.700422
2,2,0.7,0,0,0.6825
1,6,0.65,0,1,0.650962281
1,8,0.65,0,1,0.650421429
1,5,0.6,0,1,0.600040678
1,7,0.5,0,1,0.500610909
2,10,0.7,0,0,0.477291667
2,8,0.65,0,0,0.2640625
2,12,0.8,0,0,0.92
2,5,0.6,0,0,0.909391667
1,1,0.75,0,0,0.900061017
2,3,0.8,0,0,0.894444444
2,4,0.75,0,0,0.881575
2,1,0.75,0,0,0.880754167
1,4,0.75,0,0,0.850084211
2,9,0.75,0,0,0.821666667
1,12,0.8,0,0,0.800401961
1,3,0.8,0,1,0.800071839
1,11,0.8,0,0,0.800034503
2,11,0.8,0,0,0.758229167
1,10,0.75,0,0,0.750608
1,9,0.75,0,0,0.750395513
2,2,0.7,0,0,0.741
1,8,0.7,0,1,0.700505263
1,6,0.7,0,1,0.700246491
1,2,0.7,0,1,0.700051852
1,5,0.65,0,1,0.650044068
1,7,0.6,0,1,0.630402924
2,8,0.65,0,0,0.560625
2,7,0.5,0,0,0.560625
2,10,0.7,0,0,0.39875
2,12,0.8,0,0,0.922839506
2,11,0.8,0,0,0.874027778
2,2,0.75,0,0,0.819270833
2,4,0.75,0,0,0.813309028
2,1,0.75,0,0,0.812625
1,12,0.8,0,0,0.800401961
1,3,0.8,0,1,0.800071839
1,11,0.8,0,0,0.800034503
2,3,0.8,0,0,0.786631944
2,5,0.7,0,0,0.75885
1,10,0.75,0,0,0.750608
1,9,0.75,0,0,0.750347333
1,2,0.75,0,1,0.750140741
1,1,0.75,0,0,0.750050847
1,4,0.75,0,0,0.750050847
1,5,0.7,0,1,0.700556897
1,8,0.7,0,1,0.700505263
1,6,0.7,0,1,0.700246491
1,7,0.65,0,1,0.650596491
2,10,0.75,0,0,0.628333333
2,8,0.7,0,0,0.625625
2,7,0.65,0,0,0.625625
2,9,0.75,0,0,0.505888889
2,6,0.7,0,0,0.394722222
