targeted_productivity,smv,over_time,incentive,no_of_workers,actual_productivity
0.8,26.16,7080,98,59,0.940725424
0.75,3.94,960,0,8,0.8865
0.8,11.41,3660,50,30.5,0.800570492
0.8,11.41,3660,50,30.5,0.800570492
0.8,25.9,1920,50,56,0.800381944
0.8,25.9,6720,38,56,0.800125
0.75,3.94,960,0,8,0.755166667
0.75,28.08,6900,45,57.5,0.753683478
0.75,19.87,6000,34,55,0.753097531
0.75,28.08,6900,45,57.5,0.750427826
0.7,28.08,6900,44,57.5,0.721126957
0.75,19.31,6480,45,54,0.712205247
0.8,11.41,3660,50,30.5,0.707045902
0.65,3.94,960,0,8,0.705916667
0.75,2.9,960,0,8,0.676666667
0.75,3.94,2160,0,18,0.593055556
0.8,2.9,960,0,8,0.540729167
0.65,23.69,7200,0,60,0.52118
0.7,4.15,1440,0,12,0.436326389
0.8,4.15,6600,0,20,0.988024691
0.75,2.9,5640,0,17,0.987880435
0.8,4.15,960,0,8,0.956270833
0.75,3.94,1560,0,8,0.945277778
0.8,3.94,960,0,8,0.902916667
0.8,28.08,6300,50,56.5,0.800725314
0.8,28.08,6540,50,54.5,0.800322936
0.8,26.16,7080,50,59,0.800318644
0.8,26.16,7080,63,59,0.800318644
0.8,11.61,7080,50,29.5,0.800237288
0.8,11.61,7080,50,31.5,0.800148649
0.8,25.9,6720,50,56,0.800125
0.8,25.9,6720,38,56,0.800125
0.75,19.31,6480,56,54,0.787299691
0.8,4.15,960,0,8,0.782447917
0.75,19.87,6600,45,55,0.75024303
0.7,4.15,960,0,8,0.7018125
0.7,23.69,13800,0,60,0.700134038
0.7,28.08,6900,40,57.5,0.699965217
0.8,2.9,960,0,8,0.628333333
0.8,3.94,960,0,8,0.6253125
0.75,4.15,1560,0,8,0.991388889
0.8,3.94,960,0,8,0.931645833
0.8,3.94,960,0,8,0.915229167
0.8,11.61,6975,50,31,0.879714482
0.8,3.94,6600,0,20,0.861679012
0.8,26.16,7080,60,59,0.850569492
0.8,25.9,7020,60,56.5,0.850436438
0.8,25.9,6780,45,56.5,0.850345133
0.8,28.08,4260,50,55.5,0.800598058
0.8,26.16,7080,63,59,0.800318644
0.8,28.08,6660,50,55.5,0.800237838
0.8,11.61,6975,50,31,0.800030199
0.8,3.94,960,0,8,0.792104167
0.7,3.94,4320,0,18,0.759228395
0.75,19.31,6480,45,54,0.750348457
0.75,19.87,6600,45,55,0.75024303
0.7,28.08,6900,40,57.5,0.699965217
0.8,2.9,960,0,8,0.682708333
0.8,2.9,960,0,8,0.667604167
0.7,45.67,6960,26,58,0.603432184
0.75,4.15,960,0,8,0.345833333
0.8,3.94,1920,0,8,0.961059028
0.8,3.94,2400,0,10,0.939513889
0.8,3.94,3840,0,16,0.893663194
0.75,4.15,1920,0,8,0.875390625
0.8,26.16,7080,75,59,0.850569492
0.8,2.9,1920,0,8,0.820833333
0.8,3.94,960,0,8,0.804416667
0.8,25.9,6780,50,56.5,0.800684366
0.8,25.9,6780,38,56.5,0.800684366
0.8,26.16,7080,63,59,0.800318644
0.8,19.31,4800,50,55,0.800250962
0.8,11.61,7200,50,32,0.800246011
0.8,11.61,7200,50,32,0.800246011
0.8,28.08,6900,50,57.5,0.800076522
0.8,28.08,6900,50,57.5,0.800076522
0.75,2.9,960,0,8,0.763375
0.6,2.9,960,0,8,0.759270833
0.75,28.08,7020,45,58.5,0.7504
0.75,19.87,6600,45,55,0.75024303
0.8,3.94,960,0,8,0.676666667
0.8,2.9,960,0,8,0.664583333
0.6,21.98,6960,23,58,0.600028736
0.8,3.94,4440,0,18,0.966781346
0.8,3.94,1440,0,8,0.936496212
0.75,4.15,1800,0,10,0.899166667
0.8,4.15,2700,0,15,0.888686869
0.8,3.94,1440,0,8,0.858143939
0.8,26.16,10620,75,59,0.850502311
0.8,26.16,10620,75,59,0.850502311
0.75,3.94,1440,0,8,0.809640152
0.8,3.94,1440,0,8,0.805909091
0.8,28.08,10350,50,57.5,0.800594466
0.8,28.08,10350,50,57.5,0.800594466
0.8,19.87,9900,50,55,0.800273829
0.8,11.61,5310,50,31.5,0.800140969
0.8,25.9,10170,38,56.5,0.800128721
0.8,25.9,10170,38,56.5,0.800128721
0.8,11.61,4470,38,31.5,0.80007657
0.75,28.08,10530,45,58.5,0.750545455
0.75,19.31,9900,45,55,0.750057851
0.8,2.9,1440,0,8,0.681060606
0.65,21.98,10440,35,58,0.649983281
0.8,2.9,1440,0,8,0.61625
0.8,3.94,1440,0,8,0.951420455
0.8,3.94,1440,0,8,0.880530303
0.8,26.16,10620,75,59,0.850502311
0.8,26.16,10620,75,59,0.850502311
0.8,25.9,10170,60,56.5,0.850136766
0.75,4.15,2700,0,15,0.83
0.8,3.94,4440,0,18,0.827186544
0.8,3.94,1440,0,8,0.813371212
0.75,3.94,1440,0,8,0.805909091
0.8,2.9,1440,0,8,0.804640152
0.8,28.08,10350,63,57.5,0.800594466
0.8,28.08,10350,50,57.5,0.800594466
0.8,11.41,5490,50,30.5,0.800343766
0.8,19.87,9900,50,55,0.800273829
0.8,11.61,5670,50,31.5,0.800246753
0.8,25.9,10170,50,56.5,0.800128721
0.75,28.08,10530,69,58.5,0.8
0.7,21.98,9720,40,58,0.700480831
0.8,2.9,1440,0,8,0.681060606
0.8,2.9,1800,0,10,0.666515152
0.8,31.83,9900,40,55,0.412119835
0.7,4.15,1440,0,8,0.330113636
0.8,3.94,1440,0,8,0.947689394
0.8,3.94,12600,0,20,0.919905405
0.8,26.16,10620,88,59,0.900215716
0.8,3.94,1440,0,8,0.891723485
0.8,26.16,10620,75,59,0.850502311
0.8,28.08,10530,75,58.5,0.850181818
0.8,25.9,10170,60,56.5,0.850136766
0.8,25.9,10170,60,56.5,0.850136766
0.8,3.94,1440,0,8,0.835757576
0.7,4.15,3840,0,8,0.821354167
0.8,28.08,10050,63,58.5,0.800497246
0.8,19.87,9900,50,55,0.800273829
0.8,11.61,15120,63,31.5,0.800107143
0.8,11.41,14640,50,30.5,0.800024932
0.75,28.08,10530,69,58.5,0.8
0.75,3.94,1440,0,8,0.779791667
0.8,2.9,1440,0,8,0.735984848
0.75,4.15,2160,0,12,0.712626263
0.8,2.9,1440,0,8,0.681060606
0.8,4.15,900,0,5,0.515606061
0.35,12.52,25920,38,54,0.349951389
0.7,42.41,10260,0,57,0.233705476
0.8,3.94,2160,0,8,0.985
0.75,4.15,2760,0,12,0.930340376
0.8,3.94,6000,0,20,0.911589744
0.8,3.94,1440,0,8,0.858143939
0.8,26.16,10620,75,59,0.851174114
0.8,25.9,10170,60,56.5,0.850136766
0.8,25.9,10170,60,56.5,0.850136766
0.8,3.94,1440,0,8,0.846950758
0.8,4.15,1440,0,8,0.817424242
0.8,3.94,1440,0,8,0.817102273
0.8,28.08,10440,63,58,0.801028213
0.8,28.08,10350,63,57.5,0.800594466
0.8,11.61,4710,50,31.5,0.800346445
0.8,11.41,5490,50,30.5,0.800343766
0.8,26.16,10620,63,59,0.800117103
0.8,28.08,10530,63,58.5,0.8
0.75,19.87,7080,45,56,0.750098351
0.5,12.52,9540,38,53,0.673245283
0.8,2.9,1440,0,8,0.670075758
0.8,2.9,1440,0,8,0.628882576
0.5,20.79,7680,0,56,0.388007813
0.5,4.15,1440,0,8,0.337973485
0.75,4.15,1440,0,8,0.93532197
0.8,3.94,3600,0,20,0.925643939
0.8,26.16,10620,88,59,0.900215716
0.8,3.94,1440,0,8,0.873068182
0.8,3.94,1440,0,8,0.858143939
0.8,26.16,10620,75,59,0.850502311
0.8,25.9,10170,45,56.5,0.850136766
0.8,25.9,10170,60,56.5,0.850136766
0.8,3.94,1440,0,8,0.828295455
0.8,3.94,1440,0,8,0.820833333
0.8,11.41,5490,50,30.5,0.800343766
0.8,11.61,5670,50,31.5,0.800246753
0.8,28.08,10530,63,58.5,0.8
0.8,28.08,10530,38,58.5,0.8
0.8,19.87,6420,0,55,0.690182815
0.8,4.15,1440,0,8,0.668087121
0.8,2.9,1440,0,8,0.653598485
0.5,4.15,1440,0,8,0.609138258
0.6,12.52,9540,30,53,0.600229846
0.8,2.9,1440,0,8,0.597348485
0.8,2.9,1440,0,8,0.590435606
0.8,50.48,10440,0,58,0.473134796
0.6,20.79,7980,0,57,0.452979626
0.8,3.94,1440,0,8,0.955151515
0.35,4.3,3240,0,18,0.942213805
0.8,4.15,1800,0,10,0.905454545
0.8,3.94,1440,0,8,0.880530303
0.8,3.94,1440,0,8,0.858143939
0.8,26.16,8220,75,59,0.850522167
0.8,26.16,10620,75,59,0.850502311
0.8,25.9,10170,60,56.5,0.850136766
0.8,25.9,10170,60,56.5,0.850136766
0.8,2.9,1440,0,8,0.817424242
0.65,4.15,1440,0,8,0.809564394
0.8,19.87,9900,0,55,0.800273829
0.8,11.41,5670,50,31.5,0.800181818
0.8,11.61,4470,50,31.5,0.80007657
0.8,28.08,10530,63,58.5,0.8
0.8,2.9,1440,0,8,0.725
0.8,50.48,6930,45,58.5,0.688557555
0.65,20.79,8460,0,59,0.650040783
0.65,12.52,9540,44,53,0.64998056
0.8,2.9,1440,0,8,0.648106061
0.8,4.15,1440,0,8,0.640577652
0.35,22.4,7350,0,51.5,0.35063299
0.8,3.94,1440,0,8,0.24625
0.35,4.3,2160,0,12,0.952020202
0.8,3.94,1440,0,2,0.951420455
0.8,3.94,5400,0,20,0.912766667
0.8,4.15,1620,0,9,0.901262626
0.8,3.94,1440,0,8,0.858143939
0.8,26.16,10620,75,59,0.850502311
0.8,26.16,10620,75,59,0.850502311
0.8,25.9,10260,60,57,0.850252525
0.8,25.9,10170,60,56.5,0.850136766
0.65,4.15,1440,0,8,0.821354167
0.8,3.94,1440,0,8,0.805909091
0.8,11.61,5670,50,31.5,0.800246753
0.8,11.61,5670,50,31.5,0.800246753
0.8,28.08,10530,50,58.5,0.8
0.8,42.27,9900,54,55,0.705576584
0.8,2.9,1440,0,8,0.681060606
0.8,2.9,1440,0,8,0.670075758
0.8,4.15,1440,0,8,0.601278409
0.7,27.13,9540,37,53,0.582301029
0.7,20.79,10440,0,58,0.526810345
0.5,22.4,10170,23,56.5,0.500380799
0.35,22.4,10170,23,56.5,0.35020649
0.8,4.15,1980,0,7,0.934607438
0.35,4.3,2700,0,8,0.908080808
0.8,25.9,10170,70,56.5,0.900144811
0.8,3.94,1440,0,8,0.891723485
0.65,4.15,1440,0,15,0.864583333
0.8,3.94,1440,0,8,0.858143939
0.8,26.16,10620,75,59,0.850502311
0.8,25.9,10170,60,56.5,0.850136766
0.8,2.9,1440,0,8,0.837594697
0.8,4.15,1440,0,7,0.820833333
0.8,11.61,2970,50,31.5,0.800313433
0.8,11.61,5670,38,31.5,0.800246753
0.8,26.16,10620,63,59,0.800117103
0.7,20.79,7320,0,58,0.700095563
0.8,2.9,1440,0,8,0.667329545
0.6,22.4,5100,23,57,0.600369686
0.5,22.4,3390,23,56.5,0.499980334
0.35,14.61,7200,23,55,0.35003125
0.8,3.94,1260,0,8,0.332359307
0.8,51.02,4260,27,57,0.311207464
0.8,3.94,1260,0,8,0.247316017
0.35,4.3,3600,0,20,0.988636364
0.8,3.94,3420,0,19,0.953110048
0.8,3.94,1440,0,8,0.884261364
0.65,4.15,1440,0,8,0.860653409
0.8,3.94,1440,0,8,0.858143939
0.8,26.16,10620,75,59,0.850502311
0.8,25.9,8970,60,56.5,0.850415628
0.8,25.9,10170,60,56.5,0.850136766
0.8,26.16,10620,63,59,0.800117103
0.8,11.61,4950,38,31.5,0.80003139
0.8,11.61,4950,50,31.5,0.80003139
0.7,20.79,10440,0,58,0.700060345
0.8,2.9,1440,0,8,0.689299242
0.5,22.52,10170,30,56.5,0.660683293
0.65,22.52,10080,26,56,0.650130952
0.8,2.9,1440,0,8,0.606912879
0.6,22.52,10170,23,56.5,0.600291767
0.5,14.89,9900,30,55,0.500025069
0.5,22.94,9810,23,54.5,0.499998888
0.65,4.15,2700,0,15,0.98719697
0.8,3.94,1800,0,10,0.980909091
0.8,3.94,1440,0,8,0.974621212
0.8,3.94,1440,0,8,0.884261364
0.8,3.94,1800,0,10,0.82680303
0.8,11.41,5490,63,30.5,0.800343766
0.8,11.61,5670,63,31.5,0.800246753
0.8,25.9,10170,50,56.5,0.800128721
0.8,25.9,10170,50,56.5,0.800128721
0.8,48.68,10620,63,59,0.800117103
0.8,26.16,10620,63,59,0.800117103
0.6,22.94,6570,23,56.5,0.77011398
0.7,22.52,10170,50,56.5,0.7005417
0.8,2.9,1440,0,8,0.675568182
0.8,2.9,1440,0,8,0.661837121
0.65,22.52,9720,35,54,0.650198653
0.6,22.52,10170,30,56.5,0.600291767
0.6,14.89,10080,38,56,0.600273268
0.8,2.9,900,0,5,0.465757576
0.7,41.19,10440,21,58,0.452012539
0.8,4.15,1260,0,7,0.313852814
0.6,4.15,1440,0,8,0.852793561
0.65,4.15,2160,0,12,0.838383838
0.8,2.9,1800,0,10,0.804848485
0.8,11.41,5490,63,30.5,0.800343766
0.8,48.84,10170,50,56.5,0.800128721
0.8,25.9,10170,38,56.5,0.800128721
0.8,26.16,3660,50,59,0.800015009
0.7,22.52,10170,50,56.5,0.7005417
0.7,22.52,10080,40,56,0.700094156
0.8,2.9,1440,0,8,0.692045455
0.8,26.87,5670,56,31.5,0.662255892
0.65,22.52,10170,35,56.5,0.650416734
0.65,14.89,10260,44,57,0.650299575
0.65,22.94,10170,26,56.5,0.650243497
0.8,2.9,1440,0,8,0.639867424
0.6,20.4,10440,30,58,0.600062696
0.8,3.94,1800,0,10,0.582045455
0.8,49.1,10350,24,57.5,0.403242161
0.7,3.94,1440,0,8,0.235795455
0.7,4.3,5040,0,28,0.977272727
0.8,3.94,1800,0,10,0.964106061
0.65,4.15,1440,0,8,0.958901515
0.8,11.41,4380,50,31,0.800358775
0.8,25.9,3630,50,56.5,0.800162602
0.8,26.16,10620,63,59,0.800117103
0.8,2.9,1440,0,8,0.793844697
0.7,22.94,10170,38,56.5,0.750517565
0.7,22.52,10260,63,57,0.750068049
0.7,22.52,10170,50,56.5,0.750062751
0.7,22.52,10080,63,56,0.750057359
0.7,14.89,10260,50,57,0.700170388
0.8,2.9,1440,0,8,0.683806818
0.65,20.4,8280,35,58,0.650066445
0.8,48.84,10260,30,57,0.576460393
0.5,22.94,10170,30,56.5,0.549969429
0.7,3.94,1440,0,8,0.538399621
0.7,4.15,1440,0,8,0.409545455
0.35,15.26,6120,23,34,0.35021836
0.7,4.15,1440,0,8,1.033570076
0.8,11.41,5580,63,31,0.800261486
0.8,25.9,10170,50,56.5,0.800128721
0.8,26.16,10620,63,59,0.800117103
0.7,22.52,10260,63,57,0.750068049
0.7,22.52,10080,63,56,0.750057359
0.7,22.52,8460,50,57,0.750037968
0.7,22.94,10260,50,57,0.750031898
0.8,3.94,1800,0,10,0.72830303
0.7,14.89,10260,50,57,0.700170388
0.7,20.4,10260,50,57,0.700063796
0.8,2.9,1440,0,8,0.639867424
0.5,15.26,3720,23,34,0.500290419
0.35,22.94,10080,30,56,0.400332792
0.7,4.15,2700,0,15,0.362666667
0.75,4.3,6000,0,20,0.978525641
0.7,3.94,5100,0,17,0.912202112
0.75,22.52,10080,94,56,0.900556277
0.8,11.61,5760,75,89,0.850410511
0.8,3.94,2400,0,8,0.827147436
0.8,25.9,7470,38,56.5,0.800436542
0.7,22.94,10500,60,57,0.800415742
0.7,22.52,10080,75,56,0.800020563
0.7,4.15,2400,0,8,0.758173077
0.7,20.4,10440,50,58,0.750344828
0.7,22.52,10260,63,57,0.750068049
0.7,14.89,10260,50,57,0.700170388
0.65,22.94,10260,34,57,0.700029771
0.6,15.26,6360,23,34,0.60017284
0.8,2.9,2400,0,8,0.594871795
0.8,54.56,4140,29,58,0.520237649
0.65,3.94,2400,0,8,0.505128205
0.5,22.52,10080,23,56,0.500241342
0.7,4.15,2700,0,9,0.470769231
0.6,3.94,6000,0,10,0.957638889
0.75,3.94,8400,0,14,0.940701058
0.75,22.52,10080,81,56,0.849983766
0.7,22.94,10620,60,57,0.800302791
0.8,11.61,6360,63,32,0.800191989
0.75,22.52,10080,55,56,0.800020563
0.7,22.94,12180,63,57,0.750162367
0.7,22.52,10260,63,57,0.750068049
0.7,4.15,9000,0,15,0.742901235
0.7,20.4,10440,40,58,0.700250784
0.7,14.89,10260,50,57,0.700170388
0.75,4.3,9000,0,15,0.670216049
0.7,3.94,15000,0,25,0.649662222
0.7,3.94,15000,0,25,0.649662222
0.8,2.9,4800,0,8,0.626822917
0.6,15.26,6960,23,34,0.600436426
0.6,22.52,10260,23,57,0.60041361
0.8,40.99,10770,30,56.5,0.555500132
0.5,29.12,10440,30,58,0.500547544
0.7,3.94,12000,0,20,0.460578704
0.8,2.9,4800,0,8,0.397743056
0.6,4.08,5400,0,9,0.327407407
0.7,4.15,2700,0,15,0.966666667
0.75,3.94,1800,0,10,0.937242424
0.8,2.9,1620,0,9,0.910521886
0.75,22.94,10260,94,57,0.90064806
0.75,22.52,10260,94,57,0.900321106
0.75,4.15,1800,0,10,0.896022727
0.75,3.94,1440,0,8,0.895454545
0.65,3.94,2160,0,12,0.870580808
0.7,4.08,1620,0,9,0.858585859
0.7,22.94,10260,75,57,0.800643806
0.75,22.52,10080,69,56,0.80062987
0.8,11.61,5640,63,32,0.800537143
0.75,22.52,10260,69,57,0.80035194
0.75,15.26,6120,40,34,0.750079323
0.75,42.97,10260,56,57,0.750041201
0.7,20.4,10440,50,58,0.700250784
0.75,4.3,2160,0,12,0.651515152
0.65,22.52,10170,26,56.5,0.650416734
0.6,29.12,6660,23,58,0.600125217
0.75,3.94,1440,0,8,0.578314394
0.7,3.94,1440,0,8,0.578314394
0.35,15.09,9360,23,52,0.34998951
0.6,3.94,1440,0,8,0.261174242
0.7,4.15,3060,0,17,0.973796791
0.75,3.94,1440,0,8,0.970075758
0.7,3.94,1440,0,8,0.970075758
0.75,3.94,1620,0,9,0.961784512
0.75,3.94,3420,0,19,0.955151515
0.75,4.3,2160,0,12,0.952020202
0.75,22.52,10260,94,57,0.900321106
0.75,22.94,10530,81,58.5,0.850223776
0.7,22.94,10530,75,58.5,0.800909609
0.75,22.52,10350,55,57.5,0.800513307
0.8,11.61,5760,63,32,0.800386364
0.75,22.52,10080,69,56,0.800020563
0.65,3.94,2520,0,14,0.749188312
0.7,22.52,10170,40,56.5,0.7005417
0.7,15.26,6120,40,34,0.70043672
0.7,20.4,10440,50,58,0.700250784
0.65,29.12,10440,26,58,0.650407524
0.7,4.08,1620,0,9,0.618181818
0.75,42.97,10260,40,57,0.59114168
0.5,15.09,720,23,52,0.500061916
0.8,2.9,720,0,4,0.329545455
0.75,3.94,1800,0,10,1.059621212
0.75,3.94,3780,0,21,0.997792208
0.75,4.3,2160,0,12,0.963699495
0.7,4.15,2700,0,15,0.959191919
0.75,3.94,1800,0,10,0.910378788
0.7,3.94,1800,0,10,0.910378788
0.8,22.52,10170,60,56.5,0.850312684
0.8,11.61,5760,50,32,0.800386364
0.75,22.52,10260,69,57,0.80035194
0.75,22.94,10260,55,57,0.800034024
0.7,22.94,10440,60,58,0.800023511
0.75,22.52,10080,55,56,0.800020563
0.7,4.08,1620,0,9,0.769292929
0.75,20.4,10320,56,58,0.750031447
0.7,29.12,10440,40,58,0.70061442
0.7,15.26,6120,40,34,0.70043672
0.65,3.94,1440,0,8,0.646306818
0.6,15.09,360,23,52,0.600143365
0.35,28.08,10260,23,57,0.350066986
0.75,22.52,6840,119,57,1.000230409
0.75,22.52,6840,119,57,1.000230409
0.8,3.94,1440,0,12,0.979527778
0.8,4.3,1440,0,12,0.940625
0.5,4.15,1440,0,12,0.926388889
0.8,22.52,6720,70,56,0.900129762
0.75,3.94,1440,0,12,0.861875
0.8,22.52,6780,60,56.5,0.850312684
0.65,3.94,960,0,8,0.845458333
0.7,4.15,1080,0,9,0.823555556
0.5,4.15,960,0,8,0.803541667
0.75,22.94,6960,55,58,0.800263218
0.75,3.94,1200,0,10,0.788
0.75,3.94,1200,0,10,0.77815
0.7,29.12,6960,50,58,0.700386207
0.7,15.26,4080,40,34,0.700164706
0.65,15.09,240,23,52,0.650307143
0.8,30.4,3840,34,32,0.622828125
0.8,2.9,960,0,8,0.6225
0.5,20.79,6960,30,58,0.500035345
0.5,48.18,6480,23,54,0.37046657
0.8,22.52,6840,90,57,1.000230409
0.8,22.52,6840,113,57,1.000230409
0.35,2.9,1800,0,15,0.977555556
0.75,3.94,1200,0,10,0.9456
0.8,3.94,1800,0,15,0.902222222
0.8,22.52,6720,60,56,0.850532143
0.75,22.94,6960,81,58,0.850362069
0.8,3.94,1200,0,10,0.840533333
0.6,20.79,6960,88,58,0.800534483
0.8,22.52,6780,50,56.5,0.800489676
0.75,4.08,1080,0,9,0.755555556
0.7,29.12,6960,63,58,0.750593103
0.75,15.26,3600,45,35,0.750283333
0.8,4.3,1440,0,12,0.722638889
0.65,4.15,960,0,8,0.553333333
0.5,20.1,5880,46,54,0.500567308
0.7,38.09,6240,0,52,0.467693269
0.35,18.79,1800,23,32,0.437995338
0.6,3.94,960,0,8,0.406354167
0.6,23.54,6600,0,55,0.285333333
0.5,2.9,960,0,8,0.259375
0.8,22.52,6840,113,57,1.000230409
0.8,4.3,1200,0,10,0.989
0.8,22.52,6840,100,57,0.950185965
0.8,22.52,6900,88,57.5,0.9008
0.8,22.52,6720,88,56,0.900129762
0.5,2.9,1200,0,10,0.899
0.65,4.15,960,0,8,0.877552083
0.6,2.9,960,0,8,0.864583333
0.8,3.94,1200,0,10,0.85695
0.75,3.94,1200,0,10,0.853666667
0.75,22.94,6960,81,58,0.850362069
0.7,29.12,6960,53,58,0.850170115
0.65,20.79,7080,81,59,0.800473729
0.8,3.94,1200,0,10,0.773333333
0.75,15.26,4200,45,35,0.750646667
0.75,4.08,1080,0,9,0.634666667
0.6,20.1,4320,46,51,0.60059761
0.5,18.79,3960,23,33,0.500117677
0.8,3.94,960,0,8,0.4925
0.65,23.54,6600,0,55,0.48792
0.8,22.52,6960,113,58,1.000457471
0.8,22.52,6840,113,57,1.000230409
0.8,3.94,1200,0,10,0.971866667
0.8,3.94,960,0,8,0.971866667
0.8,3.94,1200,0,10,0.971866667
0.8,3.94,1200,0,10,0.971866667
0.75,3.94,1800,0,15,0.971866667
0.75,3.94,240,0,2,0.971866667
0.75,4.08,1080,0,9,0.971866667
0.7,3.94,240,0,2,0.971866667
0.7,3.94,1200,0,10,0.971866667
0.65,3.94,960,0,8,0.971866667
0.65,3.94,600,0,5,0.971866667
0.6,3.94,1200,0,10,0.971866667
0.8,22.52,6720,93,56,0.920236905
0.8,22.52,6660,88,57.5,0.900537069
0.75,29.12,6840,81,57,0.850610526
0.75,22.94,6960,81,58,0.850362069
0.75,15.26,4200,45,35,0.750646667
0.7,50.89,5880,56,59,0.656763743
0.65,20.1,6480,49,54,0.650148148
0.6,18.79,3960,23,33,0.600710606
0.7,23.54,6720,0,56,0.388830357
0.5,23.54,6480,0,54,0.286984568
0.65,4.15,960,0,8,1.0115625
0.8,22.52,6900,113,57.5,1.000671304
0.8,22.94,3060,113,58.5,1.000402055
0.75,3.94,2280,0,19,0.950438596
0.8,22.52,6840,100,57,0.950185965
0.8,3.94,1200,0,10,0.912766667
0.7,3.94,2160,0,18,0.892194444
0.8,3.94,1200,0,10,0.8865
0.8,22.52,6720,75,56,0.850532143
0.8,22.52,7020,60,58.5,0.85011396
0.8,4.3,1440,0,12,0.845069444
0.75,29.12,6960,45,58,0.750593103
0.75,15.26,1440,45,35,0.750450658
0.75,4.08,1080,0,9,0.702666667
0.7,20.1,6120,75,54,0.700508929
0.65,18.79,3960,26,33,0.651007071
0.6,24.26,6600,0,55,0.466821212
0.7,24.26,6720,0,56,0.411553571
0.6,2.9,1200,0,10,0.314166667
0.8,22.94,7020,113,58.5,1.000602279
0.75,3.94,960,0,8,0.994270833
0.8,22.52,7020,88,58.5,0.900158405
0.8,22.52,6840,70,57,0.90014152
0.8,22.52,6720,88,56,0.900129762
0.8,3.94,1200,0,10,0.85695
0.8,4.3,1440,0,12,0.809236111
0.8,15.26,3600,63,35,0.800401961
0.8,22.52,5940,50,56.5,0.800393224
0.75,29.12,6960,55,58,0.799963218
0.75,4.08,1080,0,9,0.740444444
0.7,20.55,6480,60,54,0.700398148
0.7,18.79,3960,30,33,0.700354545
0.65,4.15,960,0,8,0.561979167
0.75,3.94,2280,0,19,0.504596491
0.5,30.1,6960,0,58,0.500801724
0.7,24.26,6720,0,56,0.295307738
0.6,2.9,1200,0,10,0.280333333
0.65,24.26,6600,0,55,0.260978788
0.8,3.94,2400,0,20,1.001416667
0.8,22.52,6900,113,57.5,1.000018551
0.8,22.52,6720,90,56,0.999995238
0.8,3.94,1200,0,10,0.99485
0.7,4.15,960,0,8,0.976979167
