EE1,EE2,EE3,PE1,PE2,PE3,SI1,SI2,SI3,T1,T2,T3,EN1,EN2,EN3,NEX1,NEX2,NEX3,BI1,BI2,BI3
1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1
0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1
0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1
0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1
0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1
0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0
1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0
1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0
1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1
1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0
0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1
0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0
0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1
0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1
0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1
1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1
1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0
0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0
0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0
1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0
0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1
1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1
0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1
0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1
0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1
0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1
0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0
1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
